冬官考工記第六	鄭云此篇司空之官也司空篇亡漢興購千金不得此前世識其事者記録以備大數爾
輈人	張留反車轅也方言云楚衛之間韓謂之輈
五楘	音木本又作鞪同
種馬	章勇反
齊馬	側皆反
與轐	音卜舊方木反又音僕
之咸	本又作減同洽斬反
率寸	音類又音律下同
軓前	劉音犯注同
作􁇶	音犯
所尌	音樹
與隧	雖遂反
兩軛	於革反
不勝	音升
其孫	音遜注同
無弧	音胡杜音烏
不汚	李音烏一音紆
今夫	音符
轅摰	竹二反輖也
覆車	芳服反
必易	以豉反下注之易喻易同
輖也	音周一音弔或竹二反
上阪	時掌反下登上同
必縊	一臂反劉一計反
作偪	音逼
不援	音袁
其邸	丁禮反
必緧	音秋
作䱸	音秋與緧同
欲頎	苦佷反
典	音殄又勑殄反注同
馬倚	於綺反
利準	音水又如字下及注皆同
重讀	直用反又直龍反
不楗	杜音蹇鄭音倦
不便	婢面反
不罷	音皮
不契	苦結反注同
需	音須又乃亂反注同
衣衽	而甚反又而鴆反
環灂	子召反李音在學反
之被	皮寄反
沂鄂	魚斤反下五各反
九斿	音留
宿之	音秀下同
象伐	如字劉扶廢反
與參	色林反
東辟	音壁
弧韣	音獨
張幓	所銜反本又作縿同
又爲	于僞反
下齊	才細反下及注皆同
段氏	丁亂反
刃削	如字李音笑下同
鑒燧	音遂
錞于	音淳
豆區	烏侯反
鬴也	音輔
錢鎛	子淺反
則忍	音刃
築氏鋒鍔	五各反
冶氏鋌	徒頂反
三垸	音丸
異齊	才細反
槀中	古老反
句孑	古侯反下句兵同
接柲	音祕
而邪	似嗟反
以啄	丁角反
必橫	劉華孟反又如字
磬折	之設反
而便	婢面反
曼胡	莫干反
三鋝	色劣反又音劣或音環
鍰也	戸關反又于眷反
萊稱	尺證反
中矩	丁仲反注同
與刺	七賜反注同
著柲	直略反
鐏	徂悶反劉祖悶反
折與	音餘
桃氏臘廣	力闔反一音獵李魯頰反
之莖	戸耕反
劍夾	古協反又古洽反下同
鐔	戚音淫徐劉音㝷一音徒南反
於把	劉音霸戚必雅反
易制	以豉反
裨冕	婢支反劉音卑
笏	音忽
虎賁	音奔
說劍	吐活反劉詩恱反
鳧氏兩欒	本又作鸞力端反
之銑	先典反
之鉦	音征
上袪	丘書反徐丘庶反
之甬	音勇
之旋	如字李信犬反
蹲熊	音存
盤龍	畔干反
辟邪	必亦反下似嗟反
之篆	直轉反
之攠	音靡劉亡竒反又莫賀反
之隧	音遂
窐而	劉烏華反徐於蛙反又於圭反
似夫	音符
從爲	子容反下同
數也	色主反
有說	徐始銳反注同
大厚	音泰劉他賀反下同
則柞	側百反注咋同
鍾掉	徒弔反
則近	附近之近
短聞	音問下同
易竭	以豉反
㮚氏消湅	音練下同
不復	扶又反
咸也	洽斬反本亦作減
同齊	才計反
稱分	尺證反
其臋	徒門反徐劉徒恩反
謂覆	芳服反
聲中	丁仲反
應律	應對之應
槩而	古愛反
思索	所白反求也
允臻	側巾反
爲民	于僞反
以觀	古亂反示也又如字注同
使放	方往反
啓道	音導
函人七屬	之樹反下及注同
合甲	如字舊音閤注同
謂要	於遥反下同
甲鍛	丁亂反
不摯	音至
大孰	音泰劉菟餓反
言致	直置反下同
其鑚	作官反
空	音孔又如字下同
其惌	於阮反或云司農音鬱
其易	以豉反下同
敗薉	音穢本或作穢
其朕	直忍反
櫜之	音羔劉古道反
謂卷	眷勉反下文同
衣之	於旣反
齘	戸界反
更也	音庚
便利	婢面反
鮑人作鞄	匹學反劉音樸
蒼頡	戸結反
鞄	人兖反
荼白	音徒
茅莠	音酉又音秀
煩撋	人專反劉而垂反或如詢反
摶之	直轉反或除面反下同
縳一	直轉反
如瑱	他見反本或作顚音同
不	音虧又許皮反
其著	直畧反下眂其著同
之札	側八反劉側列反
者鋪	普吳反又音孚
著之	直畧反又丁畧反
其線	思賤反汪絤同
澣之	戸管反
而腛	於角反劉音屋
則需	人兖反注同
作􁍹	而髓反又人兖反
沾渥	於角反
信之	音身劉音新下皆同
爲帴	音踐或山箭反
如俴	音踐劉仕顯反
羊豬戔	劉音普見反依字才丹反字林昨善反沈云馬融音淺干寶爲殘與周易戔戔之字同亦音素干反不知其義或云字則如沈釋而羊豬戔之語未見出處俗謂羊豬脂爲音素干反豈取此乎案周禮注殘餘字本多作戔冝依殘音
不甐	音吝或作鄰音同注同
韗人	況方反衆家並音運
爲	音陶徒刀反
爲穹	起弓反下同
空邪	似嗟反
上三	音參七南反
近晉	附近之近
之賁	扶云反本或作又作鼖皆同
短聞	音問下同
畫繢之事以圜	音環
爲獐	音章
謂麇	俱倫反
爲其	于僞反
易漬	以鼓反
鍾氏朱湛	子潛反或子鴆反又音鴆
丹秫	音述
漸車	子潛反下漚漸同
淳而	章均反注及下同
爲纁	許云反
緅	側留反劉祖侯反
又復	扶又反
以紺	古闇反
之縓	倉絹反范倉亂反
之竀	勑貞反本又作䞓亦作赬
者與	音餘
㡛氏	音茫
湅絲	音練下同
涗水	書銳反
漚絲	烏豆反李又烏侯反
暴之	歩卜反劉步莫反下同
作湄	劉音眉一音奴短反
所泲	子禮反
曰涹	烏禾反又於僞反一音乃罪反
以欄	音練李又來踐反或音蘭
渥	烏豆反與漚同注渥菅同
以蜃	常軫反
繒人	似陵反
渥菅	古顔反
爲湛	子潛反
士冠	古亂反
白屨	九具反
以魁	苦廻反又作
柎之	方于反
魁蛤	古盍反
粉之	如字劉方問反
而盝	音鹿
而揮	音輝
去其	起吕反
朝更	此一字張遥反餘皆朝延之朝
冬官考工記下玉人信圭	音身
朝覲	直遥反下皆同
用龍	莫江反
用瓉	才旱反下同司農音讃
伯用將	如字劉音陽
爲􁉸	之然反
􁊰	作旦反
下尊	遐嫁反
見禮	賢遍反下同
中必	府結反戚如字
鹿車縪	劉府結反沈音畢云劉音非也案北俗今猶有此語音如劉音蓋古語乎劉音未失
組約	如字劉阿駮反
爲執	于僞反
失隊	直類反
有邸	丁禮反又音帝下文同
杼上	直吕反
之珽	他頂反
椎也	直追反下同
閷也	色界反劉色例反殺字之異者本或作殺下取殺殺文同
相玉	息亮反
自炤	音照
度景	待洛反此下注同
祼圭	古亂反注淉果皆同
琬圭	於阮反
而繅	音早
王使	所吏反下同
藉也	慈夜反
琰圭	餘冉反
除慝	吐得反
易行	以豉反又音亦改也行音下孟反注同
以上	時掌反
瑑飾	直轉反
去	起吕反
煩苛	音何
璧羨	以善反延也又音賤徑也
好三	呼報呼老二反璧孔也注同
肉倍	柔又柔育二反下同
之瑗	于眷反劉于願反
其袤	音茂
璧琮	才宗反
射四	食亦反注及下注同
金勺	上灼反注同
衡四	音橫注衡謂並同
祈沈	如字劉居綺反小爾雅曰祭山川曰祈沈案爾雅祭山曰庪縣祭川曰浮沈祈音九委反今讀冝依爾雅音
大祝	音泰
校人	戸敎反
以覜	吐弔反視也
有鉏	劉李測魚反沈徐加反
駔琮	音祖
爲稱	尺證反
錘	直僞反劉直危反
之柢	音帝劉作枑戸古反
僢	昌絹反
以勞	力報反注同
玄被	皮寄反
造賔	七報反
楖人	莊密反本或作櫛
雕人	音彫本亦作彫
磬氏倨	音據
句	沈音鉤注同劉如字
先度	待洛反
去一	起吕反
假令	力呈反後皆同
巳上	時掌反注同
大上	音泰劉他賀反下同
磨鑢	音慮
其耑	音端劉又音穿本或作端
矢人鍭矢	音候劉音侯
茀矢	依注音殺色黠反劉色例反李音拂
參訂	音亭劉當定反
槀中	古老反下同
絜矢	苦結反又音結
矰矢	音増
閷	依注爲茀劉符弗反李音拂
而閷	本又作殺色界反注下皆同
令趣	七喻反一音促
鏃也	子木反或比木反
而羽	于付反注及下同
其笴	古老反下相笴同
以辨	皮勉反劉方勉反
夾其	古治反劉古協反
其比	毗志反下及注同
能憚	音怛都達反李直旦反注同李又直丹反
鋌十	直頂反
三垸	音丸
則趮	音躁子到反旁掉也沈又色到反
掉也	徒弔反
而摇	本又作㨱羊昭反
橈之	乃孝反
之稱	尺證反
搦其	女角反
凡相	息亮反注同
而摶	徒丸反
瑕蠧	丁故反
陶人爲甗	魚輦反又音唁劉魚建反沈魯偃反一音彦甑也
二鬴	音輔
鬲實	音歷
五觳	音斛
瓬人	方往反
髺	音刮
墾	苦很反頓傷也
薜	卜革反劉薄駮反破裂也注同
暴	音剥又音雹或蒲到反墳起也
爲其	于僞反
不任	音壬
爲跀	劉音月或五刮反一音兀又五活反
墳起	扶粉反
堅致	直吏反
器中	丁仲反下同
膞	市專反注輇同
中縣	音玄後皆放此
旣拊	音附又方附反
尌	音樹本又作樹
儗度	疑紀反下徒洛反
則垺	芳符反又普回反
相勝	音升
梓人爲	息允反本又作筍橫者曰筍
虡	音巨植者曰虡
植曰	直吏反又時力反
臝	力果反下同
貔	音毗
螭	勑知反
卻行	羌略反劉去逆反
仄行	音側
紆行	乙俱反李又香于反
以脰	音豆頸也
以注	陟又反劉都豆反一音之樹反
胷鳴	本亦作骨又作匈干本作骨云敝屁屬也賈馬作胃賈云靈蠵也鄭云榮原屬也不知榮原之屬以何鳴作骨者恐非也沈云作胷爲得亦所未詳聶音胃劉本作音鹵
雕琢	丁角反
蟞屬	必滅反本又作鱉
螾衍	羊忍反下如字爾雅云螾衍入耳郭璞云蚰蜒也案此蟲能兩頭行是卻行劉云或作衍蚓衍音延今曲蟮也
鼃	戸媧反
黽	莫幸反
蜩	音條蟬也
蜺	五兮反又五歷反又五結反
蚣	息容反
蝑	思餘反又思吕反
榮原	如字原亦作螈音同又五丸反
弇口	於檢反
燿後	所敎反劉李羊肖反
爲哨	音稍劉李音與燿同沈蘇堯反
頃小	音傾李一音懇
鋭喙	況廢反一音昌銳反
決	如字又烏穴反
吻	劉無憤反戚亡粉反
數目	劉音促李粗角反
顅	苦顔反又楷田反李又古慳反又戸弔反
遠聞	音問下同
口腃	音權
作牼	劉苦顔反又客田反一音工定反案左傳有華牼音苦耕反
爲鬝	劉苦顔反吕忱同云鬢秃也或苦瞎反一音枯曷反
摶身	徒丸反
傭	勑龍反
凡攫	俱縛反舊居碧反李又九夫反
閷	色界反劉色例反
援簭	上音袁下音筮
頰􁍼	許愼口忽反云秃也劉古本反李又其懇反一音苦紇反又音混
撥爾	必末反沈蒲末反
其匪	芳鬼反注下同
穨爾	如字李湯過反
廢措	七故反注同
作厝	劉音錯七洛反又七故反
勺一升	上灼反注同
觚三升	依注作觶之豉反下同
則一豆矣	依注作斗舊音主亦多口反下一豆酒同
觚豆	音孤
郷衡	許亮反注同
之長	丁丈反
參分	方云反注參分下身居一分同
而鵠	古篤反注下同
所射	食亦反下射三侯下文射女同
兩个	讀爲幹古旦反下及注同李云大鄭依字
傅地	音附
搚幹	力荅反
亦爲	于僞反
象率	音類本又作類又音律
縜	于貧反或尤粉反劉侯犬反一音古犬反
於植	直吏反
籠綱	鹿工反
而棲	音西
