夏官司馬第四輿司馬	音餘衆也
轘轅	戸關反
環人以菆	側留反劉子侯反
掚馬	音兩又音亮
掉	徒弔反又奴孝反
鞅	於兩反
折	之設反下同
馘	古獲反
執俘	音孚
軍慝	他得反
搏	音博又房布反劉音付
諜	音牒
反間	間厠之間
降圍	戸江反注同
降鄣	音章劉諸讓反
挈壺氏畚	音本
爲軍	于僞反下爲沃同
縣其	音玄下皆同
令軍	力呈反
以盛	音成下同
稟假	彼錦反劉方鴆反
讙	呼端反
囂	五髙反一音許驕反
省煩	所景反
事便	婢面反
聚柝	音託
次更	音庚下同
相敲	苦交反又苦敎反
行夜	下孟反
共百	如字
火爨	七端反
射人見君	賢遍反下同
不與	音預
西郷	許亮反
朝燕	直遥反下文及注皆同
詔相	息亮反下及相孤同
以齊	側皆反
治逹	直吏反
射三侯	食亦反下及注射侯所射射牲射豕皆同
三獲	如字劉胡伯反
五正	音征下及注同
豻侯	五旦反劉音鴈注同
肆之	劉餘二反一音四
九重	直龍反
長杠	音江
有貙	勑誅反下同
言正	音政下志正大射正同
能中焉	丁仲反下文注射中中侯同
去白	起吕反下去扑同
之廣	古曠反
曰鵠	古毒反
下大夫	戸嫁反下天子同
以上	時掌反下上曰以上同
德行	下孟反
善搏	音博劉音付
而擬	本又作儗同
度焉	待洛反
參七	讀爲糝素感反
干五	與豻同五旦反
告卒	子恤反注同
史數	所主反注同
去扑	普卜反劉方遘反說文父豆反
貙劉	力朱反一音如字
夫介	劉古拜反注及下同
之倅	七内反劉倉愛反
夫從	才用反注同
比其	毗志反
苛罰	音何又呼何反
朝位	直遥反下皆同
服不氏擾之	而小反馴也劉音饒
熊羆	彼皮反
馴也	似遵反一音脣
熊蹯	音煩掌也
抗皮	注亢同苦浪反劉公郎反
巾車	如字劉居吝反
者中	丁仲反
射鳥氏	食亦反下射鳥同
鳧	音扶
鴈鴝	音保
鴞	于苗反
敺	起俱反
烏鳶	弋專反
善鈔	初敎反又初交反
便汚	婢面反劉符絹反
并夾	音甲
著侯	直略反
鍼箭	其炎反李其嚴反沈云或作鉆
羅氏卑居	音匹又如字
羅襦	女俱反或音須注繻同
索饗	色白反
衣絮	女居反字又作袽
中春	音仲
掌畜阜蕃	音燔注同
鵞	五何反
鶩	音木
卵鳥	劉本作夘音卵
鶉	音純
鴽	音如
夏官司馬下司士之版	音板
王治	直吏反下注治處同
奠食	音定
乃食	音嗣
其論	魯頓反下同又如字
任官	音壬
正朝	直遥反注下皆同後内朝外朝朝聘朝覲視朝朝位之類放此以意求之
南郷	許亮反下注同
大僕	音泰下放此
宿衛	音夙劉息就反
士擯	必刃反
逡遁	七巡反下音巡
告見	賢遍反
王食	如字劉音嗣
詔相	息亮反
昭穆	上招反後同
長幼	丁丈反
士從	才用反注并諸子職同
使爲	色吏反又如字注士使命使同
介	音戒
歸脤	上軫反
奠斂	力豔反
執披	方寄反注同
有守	劉手又反下皆同
諸子之倅	七内反
敎治	直吏反注同
大子	音泰下注同
卒伍	子忽反前後注及下皆同
弗正	音征下國正同
適子	丁歷反
司右齊右	側皆反
而比	毗志反注同
其乗	繩證反
屬其	音燭注比屬同
殳矛	音殊
虎賁氏	音奔劉方問反
先後	悉薦反下戸豆反又皆如字
出將	子匠反
局分	扶問反
梐	薄禮反
枑	戸故反
之難	乃旦反
葬從	才用反下并節服氏從車從尸車同
所馮	皮冰反
四方使	所吏反注及下同
旅賁氏戈盾	常準反又音允
夾王	古洽反劉古協反後放此
則衰	七雷反
則介	音戒
被甲	皮僞反
方相氏時難	乃多反注同
敺疫	起俱反
魌頭	音欺
先匶	悉薦反下音柩
之道	音導下同
入壙	苦晃反又音曠
方良	上音网下音兩注同又並如字
䕫	求龜反
大僕與遽	其據反
窮寃	於元反
上變	時掌反
傳	張戀反下文同
急聞	如字劉音問
肺石	芳廢反
遽令	方呈反
郵驛	音尤
參乗	繩證反
辟王	音避劉符亦反
之眚	色景反
窆	彼驗反注之封音同劉皆逋鄧反
而塴	補鄧反
汜祭	芳劍反
縣喪	音玄注同
謂免	音問
髽	莊瓜反
弔勞	力報反下命勞後弔勞皆同
則相	息亮反注及下并御僕職同
小臣觀苑	古喚反
盥	音管
祭僕不與	音預注同
歸胙	存故反
臂臑	奴報反字林人于反又音羊吳反
折	之舌反
九个	古賀反注同
御僕奉槃	芳勇反
爲王	干僞反
持翣	所甲反
夾蜃	辰軫反劉薄忍反
序更	音庚
隷僕之埽	素報反注汜埽西埽同
除	如字劉直庶反
糞	方問反
洒	所買反劉霜寄反
唯祧	勑彫反
曰拚	方問反本又作扮同
灑也	所買反劉霜寄反
乗石	如字劉常烝反
上車	時掌反下同
有扁	邊典反
蹕	音畢
儆	字又作警音景
弁師聮數	所主反
冠卷	起全反
當簪	莊林反
廣袤	音茂
冠縰	所買反劉霜綺反
象與	音餘
采繅	音早司農云古藻字
邃延	息遂反劉許遂反
二斿	音留下同
屬兩	音燭
鷩	必滅反
希衣	張里反劉豬履反
諸侯	依注侯音公
瑉玉	本又作珉亡貧反
玉瑱	吐練反
作璑	音無
會五采	劉古外反注同并䯤檜二字亦同或一音戸外反
玉璂	音其本亦作琪
象邸	丁禮反
乃著	張略反
反紛	本又作紒音計
如綦	音其下同
縫中	扶用反下同
如薄	劉芳惡反
下柢	丁禮反劉音帝
辟積	必亦反劉博歷反下同
司兵干櫓	音魯
卒兩	子忽反下同
廞	虚金反
興也	虛應反下同
干笮	字又作筰側白反劉舟伯反
司戈盾乗車	繩證反後乗馬陪乘參乘皆準此注王所乘車依字讀
扶蘇與	音餘
司弓矢其守	劉手又反亦如字下攻守同
藏	才浪反沈如字
中春	音仲下同
矢箙	音服盛矢器也以獸皮為之詩云象弭魚服
盛矢	音成
射甲	食亦反下以意求之
椹質	張林反
夾弓	古洽反劉古協反
臾弓	師儒相傳讀庾本或作庾
豻侯	音岸又音鴈
使者	所吏反注同
蹲甲	音存劉才官反
參侯	素感反
則易	以豉反
為鞎	戶根反一音魂或胡本反李音艮一音居言反又音很
利攻	如字劉音貢
非強	其丈反又其良反
枉	紆往反
絜	劉苦結反又音結一音戶結反弩矢也
鍭	音候劉音侯弩矢
矰	音増
茀	劉扶弗反李一音孚忽反一音㪍或音弗弩矢
庳	方二反弩矢
散射	素旦反注同
言中	丁仲反下中深射中同
結繳	章藥反
刜也	孚物反
後訂	李音亭呂忱同劉當定反
軒輖	音周一音定周反
痺病	方二反
倫比	毗志反
弊弓	婢世反惡也徐扶滅反
之衰	初危反
而圜	音圓
得與	音預
并夾	音甲注同
乗矢	繩證反四矢曰乗矢
矢籋	劉奴輒反又女十反
物從	才用反
籠	魯東反
爲其	于僞反
則更	音庚注同
繕人抉	古穴反注同
彄也	苦侯反
韝	苦侯反劉云彄字之異者
扞	胡旦反
挾矢	子協反一音戸牒反
著石	丁略反或直略反下同
若檡	劉音澤又音亦一音徒洛反
骨與	音餘
弨兮	昌遥反
無會	古外反下大㑹同後㑹計之類放此
槀人以齎	音咨後皆同
勞之	力報反
試其	音考岀注
下上	時掌反注同
見在	賢遍反
戎右革使	色吏反注使謂同
傳王	直宣反下注傳敦同
陳中	直愼反劉直吝反
爲王	于僞反下爲衆同
玉敦	音對劉又都愛反沈都迥反注同
歃血	所洽反徐所輒反
桃茢	音烈沈音例
盛以	音成
苕	音條
帚	之受反
齊石	側皆反下齊車齊僕皆同
王乗	劉繩證反沈音繩
右與	音餘
則拱	居勇反
卻行	音却
道右從車	才用反下及注同馭夫職放此
大馭犯軷	蒲末反注跋渉同
下祝	之又反
菩	劉音負一音信
芻	初俱反
轢之	音歷
險難	乃旦反
別異	彼列反下同
磔犬	陟格反
取羝	丁兮反
乃舎	音釋
兩軹	音紙
祭軓	音犯注軓同
爲􁇷	劉音雞
當重	直龍反
兩轊	音衛
軌當	媿美反又音犯
采薺	才私反
爲鈴	音零
戎僕自將	子匠反
王倅	七内反副也劉倉愛反
齊僕以賔	如字劉方刃反
王乗車	如字
道僕朝夕	直遥反注朝夕同
朝朝	上如字下直遥反
莫夕	音暮
田僕循行	下孟反
驅逆	如字又起遇反後同
逆衙	本又作御同五嫁反
植旌	直吏反樹也又時力反
植樹	如字一音豎
比禽	毗志反次也注同
種物	章勇反下同
數之	所主反
人扣	音口下同
校人四圉	魚吕反
三乗	繩證反注及下注乗匹同
爲皁	才早反
趣馬	倉走反劉沈清須反下同
爲􁀎	音計本又作繫
爲廏	九又反
八麗	依注八皆音六
此應	應對之應
之筴	初革反
騋	音來
牝	頻忍反劉扶忍反
數與	音餘下禮與同
降殺	所界反
無令	力呈反下令皆同
近母	附近之近
駣	徐音肈劉音道李湯堯反沈徒刀反
爲其	于僞反下爲蹄齧同
蹄齧	大計反又音啼後同
騬	音繒又音繩
臧僕	子郎反
相土	息亮反
見成	賢遍反下同
從車	才用反
毛馬	如字劉莫報反
執扑	普卜反劉方遘反
遺人	唯季反
貍之	亡皆反本亦作埋
祈沈	直金反劉直䕃反
使者	所吏反注同
趣馬駕說	始銳反
居治	直吏反注同
牧庌	音雅後同
巫馬相醫	息亮反注同
其賈	音嫁注同徐音古
粥之	音育賣也
牧師中春	音仲注同
累牛	力追反劉音類
瘦人佚特	音逸
散馬	素但反注同
聒馬	古活反
毋令	音無下力呈反下使令同
括押	音甲
中物	丁仲反
不復	扶又反
以上	時掌反下同
牡驪	茂后反下力知反絶句
牝玄	頻忍反絶句
駒䮍	奴了反劉音繞郭璞音同劉義異鄭
圉師除蓐	音辱
茨牆	在私反
翦闔	戸臘反
爲訝	五嫁反
廡也	亡甫反
庇馬	必二反又音祕
苫也	傷占反
鈇椹	方符反
所射者	食亦反
圉人捧	衆家並扶恭反
職方氏七閩	亡巾反又音文又亡干反漢書音義服虔音近蠻應劭音近文鄭氏音旻
九貉	孟白反
六畜	許又反下皆同
芈蠻	亡氏反劉音如羊鳴近米李云今周禮本或無此字國語則有
會稽	古外反
澤藪	素口反
具區	起俱反
其浸	子鴆反本又作寖
爲陂	彼冝反
灌漑	古愛反
鑞也	音臘
篠也	素了反
鵁	音交
鶄	音精
雲瞢	亡貢反劉亡鳳反李一音亡雄反
潁湛	直減反劉又音沈李唐感反
華山	如字劉胡化反
圃田	布古反
熒洛	戸扄反
波溠	音詐左傳音同李莊加反字林同劉昨雖反云與音大不同故今從髙貴公
絲枲	思似反
六擾	而少反徐劉音饒
中牟	上如字下莫侯反李中音仲牟又無不反
泆爲	音逸
滎播	音波下同
旣都	張魚反本或作豬
沂山	魚祈反
淮泗	音四
沂沭	音述李一音餘戍反
明都	禹貢作孟豬今依書讀
睢陽	音綏
東莞	音管劉音灌
爲洙	音殊
大野	如字劉音與
河泲	子禮反
盧維	上音雷下於恭反
鉅野	音巨
雍沮	七餘反
雍州	於用反下注州名同
涇汭	如銳反李又而類反
在汧	徐口千反劉苦見反李一音空定反
在豳	彼貧反
汭㘲	弓六反詩作鞠
貕養	音兮
般陽	歩干反
楊紆	於于反
汾	扶文反
潞	音路
長子	丁丈反長子縣名屬上黨
虖	喚胡反李呼哥反又香刑反
池	徒多反李如字
嘔夷	烏侯反一音驅
在鄔	徐於據反縣名屬太原劉烏古反
鹵城	音魯
此率	音律又音類
徧知	音遍
有竒	紀冝反
亦見	賢遍反
比小	毗志反下文比小國并注同
猶女	音汝
國竟	音境
共具	音恭又九用反
盡朝	直遥反
土方氏日景	如字
相宅	息亮反注同
度地	大洛反
之深	尸鴆反
稙	張力反
穉	直吏反
糞種	章勇反
懷方氏續食	音嗣
合方氏相奏	采豆反本或作湊
好善	呼報反注及下同
髙尚	如字劉古到反
訓方氏爲王	于僞反下同
之傳	直專反注同
好惡	烏路反
行辟	下孟反下匹亦反
形方氏華離	華依注音􁍳苦蛙反
哨	劉羊售反沈且笑反
􁍳邪	似嗟反
山師岱畎	古犬反劉孤茗反又孤善反
嶧陽	音亦
螫	音釋劉呼洛反
噬	音逝
川師蠙蛛	薄曰反劉扶忍反沈音嬪
曁魚	其器反沈其氣反
萑蒲	音丸
邍師墳衍	扶云反
相其	息亮反
匡人其慝	他得反
猶背	音佩
撢人而語	魚據反
諭說	如字劉尺銳反
和恱	音恱
猶郷	許亮反下同
都司馬其正	音征本亦作政音下同
􁈻	子公反
戾	力計反
