char,n_gy_readings,guangyun_readings,ruzi_default,ruzi_confidence,n_dual_annotations,n_bare_ruzi,corpus_marked_dist,n_corpus_marked,least_marked_default,signals_agree
平,2,bjaeng bjien,,0.0,0,1,,0,,False
童,1,duwng,,0.0,0,1,,0,,False
來,1,loj,,0.0,0,2,,0,,False
狄,1,dek,,0.0,0,1,,0,,False
賔,1,pjin,,0.0,0,1,,0,,False
茅,1,maew,,0.0,0,1,,0,,False
斯,1,sje,,0.0,0,1,,0,,False
奏,1,tsuwH,,0.0,0,3,,0,,False
亮,1,ljangH,,0.0,0,1,,0,,False
居,2,ki kjo,,0.0,0,1,,0,,False
母,1,muwX,,0.0,0,1,,0,,False
封,2,pjowng pjowngH,,0.0,0,1,,0,,False
瓦,2,ngwaeH ngwaeX,,0.0,0,1,,0,,False
付,1,pjuH,,0.0,0,1,,0,,False
奚,1,hej,,0.0,0,1,,0,,False
遺,2,ywij ywijH,,0.0,0,2,,0,,False
子,1,tsiX,,0.0,0,2,,0,,False
