source,commentary
檀弓下第四卷之三君之適,丁歷反下及下適室同
長殤,丁丈反下及注同下式羊反
三乗,繩證反下及注同
皆下,户嫁反
降殺,色戒反
遣車,弃戰反
爲差,初佳反又初冝反
逺之,于万反
朝亦,直遥反注同
越疆,居良反本又作壃下越疆同
蟜固,居表反蟜固人姓名
不說,他活反本亦作稅徐又音申銳反下同
入見,賢遍反
矯失,居表反
點,多忝反
倚其,于綺反徐其綺反
字皙,星歷反
擯者,必刄反本又作儐同後放此
則爲,于僞反下亦爲爲之變同
是日,人一反
不樂,音岳又音洛注同
執引,音胤注同車索
及壙,苦晃反又音曠後同
執紼,音弗棺索
贏,音盈
曰臨,如字徐力鴆反
袒免,音問
辟正,音避下辟難同
使人,色吏反又如字
狎則,戸甲反
近南,附近之近
與哉,音餘
悼公,音道
游擯,必刄反注同
擯相,息亮反下同
詔,音照
侑,音又
齊榖,依注音告又古毒反
爲之,于僞反下及注同
王者,如字徐于況反
重耳,直龍反注及下皆同
辟難,乃旦反
在翟,音迪本又作狄
嚴然,魚檢反本亦作儼同
喪亦,息浪反注及下皆同
孺子,如樹反後同
稺也,直吏反本又作稚同
得與,音預
稽,音啓
顙,桑黨反
子顯,依注音韅呼遍反徐苦見反
使者,色吏反
子縶,陟立反後同
仁夫,音扶
則逺,于万反
伯歜,昌燭反
有禱,丁老反一音丁報反
祠之,音詞
郷其,本又作嚮同許亮反
飯用,扶晩反
道䙝,息列反
銘,音名
旌,音精
別巳,彼列反注同本或無巳字非
識之,式至反皇如字
重與奠也,與音如字一本作重與奠與二與並音餘
綴重,丁劣反又丁衞反
聮也,音連
筭,桑亂反
縣諸,音玄
齊敬,側皆反
辟踊,婢亦反下音勇
愠哀,庾皇紆粉反積也又紆運反怨恚也徐又音鬱
袒括,觀闊反
去飾,差吕反下及注去樂去桃茢並同
其衰,七雷反
侈袂,昌氏反下彌世反
哀衰,所追反
哻,況甫反
歠,徐昌恱反歠歠粥一音常恱反
