source,commentary
檀弓第三,檀弓魯人檀大丹反姓也弓名以其善於禮故以名篇
卷之二公儀仲子,公儀氏仲子字魯之同姓也其名未聞
免焉,音問注同以布廣一寸從項中而前交於額上又卻向後繞於髻
乃袒,音但
舎其,音捨下皆同
適子,多歷反下皆同
何居,音姬下同語助
孫蔑,亡結反
孫腯,徐本作遁徒本反又徒遜反
立衍,以善反
爲親,于僞反下爲晉禮爲爲師同
扎子曰否,絶句
左右,徐上音佐下音佑今並如字左右扶持也下同
就養,以尚反下同
稱其,尺證反
以語,魚據反又如字
叔向,香亮反叔向羊舌肸
之葬,徐才浪反又如字
請合,如字徐音閤後合葬皆同
欲文,如字徐音問
不喪,如字下同徐息浪反下放此
子思伋,音急子思名也孔子之孫
母期,居疑反本又作朞後放此
道隆,力中反盛也
道汚,音烏下同殺也
殺也,所戒反又所例反下同
自予,羊許反許也一云我也又音餘
稽顙,素黨反稽顙觸地無容
頽乎,徒回反順也
頎,音懇惻隱之貌又音畿
觸,昌欲反
少孤,詩召反下文同
不墳,扶云反
不識,式志反又如字
常處,昌慮反
之度,本又作之數
防墓,防地之墓也庾云防衞墓崩
不應,應對之應
三,息暫反又如字
泫然,胡犬反
涕,音體
使者,色吏反下及注同
醢之,音海
蒯,苦怪反
聵,五怪反蒯聵衞靈公之太子出公輒之父莊公也
篡輒,初患反輒出公名也
啗食,本又作啖待敢反
以怖,普故反
命覆,芳服反注同
期可,音朞
衣衾,音欽
以爲極亡,並如字極巳也徐紀力反王以極字絶句亡作忘向下讀孫依鄭作亡而如王分句
不樂,如字又音岳
郰,側留反又作鄒
梁紇,恨發反徐胡切反又胡没反
五父,音甫注及下同
衢,求于反
亦爲,如字又于僞反
曼父,音万
其愼,依注作引羊刄反
以輤,七見反
翣,所甲反
不相,息亮反注同
不緌,本又作綏同耳隹反
去飾,起吕反
陶,大刀反
即周,本又作堲同子栗反又音稷注下同何云冶土爲甎四周於冡
燒,叔招反
折即,之設反管子云左手執燭右手折即即燭頭燼也弟子職其篇名
棺,音官
椁,音郭
上梓,音子
牆置,在良反
長殤,丁丈反下式羊反十六至十九爲長殤十二至十五爲中殤八歳至十一爲下殤七歳已下爲無服之殤生未三月不爲殤
爲正,音征下同又如字
斂用,力驗反下皆同
乗驪,力知反徐郎兮反純黒色馬
騋,音來馬七尺巳上爲騋
乗翰,字又作鶾胡旦反又音寒白色馬
物萌,亡耕反
乗騵,音原駵馬白腹
駵,力求反赤馬黒鬣尾
用騂,息營反徐呼營反純赤色也一云赤黃色
曽參,所金反一音七南反後同
齊斬,音咨本亦作齊齊衰之字後皆放此
饘,本又作飦之然反說文云麋也周謂之饘宋衞謂之􁉸
粥,之六反徐又音育字林云淖糜也
布幕,本又作幂音莫徐音覓下同
縿,音綃徐又音蕭
縑也,古謙反
綃,音消徐本又作䌃桑堯反
僭巳,子念反
爲幦,莫歷反
孋姬,本又作麗亦作驪同力知反
重耳,直龍反注皆同
子蓋,依注音盍戸臘反下同何不也
蚤卒,音早
姬嬖,必計反
欲弑,本又作煞音試注同徐云字又作嗣音同
皆惡,烏路反
突,徒忽反
傅,音富
咎犯,其九反
皐落,古刀反
子少,詩召反
多難,乃旦反
爲君,于僞反下爲時同
雉經,如字徐古定反如雉之自經也
共世子,音恭本亦作恭注同
言行,下孟反
而莫,音暮
爲樂,音洛又音岳
終無巳夫,音扶絶句本或作巳矣夫
又復,方目反
乗丘,繩證反
年夏,戸嫁反
縣,音玄卷内皆同
賁父,上音奔下音甫人名字皆同
馬驚敗,一本無驚字
公隊,直類反
綏,息隹反
圉人,魚吕反
股裏,上音古下音里
中馬,丁仲反
誄之,力軌反諡也
以上,時掌反
隅坐不與成人竝,音並絶句
