source,commentary
問喪第三十五,鄭云問喪者善其問以知居喪之禮所由也
雞斯,依注爲笄纚笄音古兮反纚音色買反徐所綺反
徒跣,悉典反
扱,初洽反
上衽,而鴆反又而甚反注同
惻怛,都達反
傷腎,市軫反
乾肝,並音于
焦肺,方廢反
水漿,本亦作浆子羊反
之􁏻,武皮反本亦作糜同
粥,之六反字林與六反云淖糜也
以飲,音䕃
食之,音嗣
去冠,起吕反
耶巾,似嗟反亦作邪
袹頭,亡瞎反本或作貃
五藏,才浪反
心脾,婢支反
夫悲,音扶
相應,應對之應
而斂,力豔反下同
曰柩,其又反
志懣,亡本反又音滿范音悶下同
殷殷,並音隱
如壞,音怪字林作􁅇音同
辟踴,婢尺反徐扶亦反注及下皆同
拊心,芳甫反
汲汲,音急
上堂,時掌反
不可復,扶又反下復反復生皆同
心悵,勑亮反
愴焉,初亮反
惚焉,音忽
愾焉,徐音慨苦代反
徼幸,古堯反
成壙,古晃反
倚廬,於綺反
寢苫,始占反草也
枕,之䕃反
塊,苦對反又苦怪反土也
匍,音蒲又音扶
匐,蒲北反又音服
益衰,色追反
爲之,于僞反下注相爲爲褻同
斷決,丁段反下古穴反
猶傎,丁年反
蹷,求月反又九月反
冠者,音官
之免,音問注及下皆同
爲褻,息列反
則著,張慮反又張略反
而廣,古曠反
秃者,吐禄反無髮也
傴者,於縷反一音紆矩反背曲也
跛者,補禍反又彼我反足廢也
有錮,音故
稽,音啓注同
顙,桑朗反下注同
何爲,于僞反盡篇末文注皆同
不緦,音思謂緦服也
冠之,古亂反
苴杖,七餘反
削杖,悉若反
體羸,力垂反劣也疲也
辟尊,音避
之處,昌慮反下同
不遽,其慮反
