source,commentary
雜記下第二十一猶爲,于爲反下乃爲同
期大功,音基
殤長,丁丈反下長子同
旣顈,口迥反徐孔穎反沈苦頂反草也注同
又喪,如字又息浪反下又喪同
去麻,起吕反
附於,義作祔出注
未祫,音洽
將與,音預下同
視濯,大角反
其它,音他
同處,昌慮反下之處同
使者,色吏反
差緩,初賣反又初佳反
適子,丁歷反
爲新,于僞反下爲人說同
之酢,音昨
嚌之,才細反
皆啐,七内反徐倉快反入口也
瘠爲,徐在益反
稱其,尺證反下同
少連,詩召反
不解,佳賣反注同
期悲哀,音基
怠惰,徒臥反
解倦,其眷反
堊室,烏各反字亦作惡同
時見,賢遍反注同
長中,丁丈反
巳殺,巳或作以下色界反徐所例反
醲美,女龍反
目瞿,九遇反下同
朝服,直遥反注及下武叔朝皆同
釋禫,大感反
綅冠,息廉反黒經白緯曰綅
當袒,音但
犆牲,音特
同與,音餘
祝,之六反徐之又反注同
稱,昌升反徐尺證反注祝稱同
相爲,于僞反下賔爲飯爲其同
關轂,工木反
輠,胡罪反又胡瓦反又胡管反迴也
州仇,音求
鑿巾,在各反
以飯,扶晩反注同
冒者,莫報反下及注同
揜形,於撿反
將惡,烏路反
旣遣,棄戰反注同
而裹,音果
餘與,音餘注何異與同
不見,如字
夫大,音扶
卷三,紀轉反又厥挽反
歸于,如字徐音匱注同
非爲,于僞反注及下注爲母爲姑姊妹皆同
問與賜與,並音餘注皆同
滅脫,音奪下同
問遺,于季反下文皆同
必三,如字又息暫反
施惠,始豉反
縣子,音玄
期之,音基下同
如剡,徐以漸反
惻怛,旦末反
執綍,音弗
功衰弔,本又作大功衰弔庾云有大字非
不與,音預下文注不與同
旣封,彼驗反又如字
執贄,音至
盈坎,口敢反下同
長少,丁丈反下詩詔反
爲壙,苦晃反又音曠
視不,如字徐市志反
皆爲,于僞反注爲食父爲王父母所爲亦爲不爲並同
人食之,音嗣注見食同
鹽酪,音洛
食食,上如字下音嗣
酢,七故反
酨,才代反
有瘍,音羊
有創,初良反
無免,音問注同
於堩,古鄧反道路也
不辟,音避注同
期之,音基
給繇,音遥本又作傜
鷖,於奚反
彌,徐五兮反一音迷
啼,徒兮反本又作諦同
號,徐本作唬胡刀反
不偯,於豈反下文同說文作㥋
重則,直龍反
喪冠,古亂反下及注皆同
三者,息暫反
取婦,七住反又如字
侈,昌氏反
袂,彌世反
不與,音預注同
聲聞,音問又如字
辟琴,音避一音婢亦反
不紳,音申
要絰,一遥反下大結反
衣采者,於旣反又如字
玄纁,許云反
不屝,本又作菲扶味反
世柳,良九反
相者,息亮反下及注皆同
飯九,扶晚反注同
飯含,本又作唅胡闇反下文同
賵臨,如字徐力鴆反
無筭,悉亂反
比葬,必利反下同
爲士,于僞反
銜枚,音梅
執鐸,大洛反
羽葆,音保
執引,以愼反注同
以茅,亡交反
朝于,直遥反
道正,音導
縷,音陋
簋,音軌
朱紘,音宏
反坫,丁念反
藻,音早
梲,章恱反
有笄,音雞
上屬,音燭
薄,音博又皮麥反又歩博反徐又薄歷反
櫨,音盧
侏儒,音朱
不弇,於檢反本亦作揜
言併,步頂反
偪下,音逼本又作損
越疆,紀良反
自闈,音韋宫中之門劉昌宗音暉
髽麻,側瓜反
嫂不,悉早反
逺別,彼列反
無其行,下孟反
駑馬,音奴
自貶,必檢反
易共,上以豉反下音恭
六種,章勇反
􁅈悲,而樹反本亦作孺
乃復,扶又反
於蜡,仕嫁反
樂乎,音洛下及注同
索也,色百反下同
屬民,音燭
先嗇,音色
飲烝,之承反
勞農,力報反
非女,音汝
不弛,尸是反下及注同
弓弩,乃古反
大廟,音泰
外宗爲,干僞反注同下爲火爲之服下注爲其亦同
廏焚,九又反
上以,時掌反
辟也,匹亦反
不與焉,音預注同
弗辟,音避注同
同僚,本又作寮力彫反
内難,乃旦反下同
厚半,戸豆反
剡上,以冉反
畫之,胡卦反徐胡麥反
再行,户剛反
奚當,如字注同舊丁浪反
則釁,許靳反
純衣,側其反
拭羊,音式
于碑,彼皮反
拭靚,本亦作靜同才性反
刲羊,苦圭反
夾室,古洽反
其衈,如志反
刉,古代反又古對反一音其旣反
珥,如至反
皆郷,許亮反下同
朝服,直遥反注同
以豭,音加
尊彞,以之反
比至,必利反
使者,色吏反下使臣使者同
儐者,必刄反本又作擯
傳焉,丈專反
器皿,武景反字林又音猛
所齊,子兮反下同
卑所,必利反與也又婢支反償也
而共,音恭
粢盛,上音咨下音成
不肖,音笑
不敢辟,音避
少施,失召反下及注同
食我,音嗣
而爲,于僞反下來爲亦爲同
倨,音據
僈,武諫反本亦作慢
施父,音甫
吾飧,音孫
十个,古賀反
其卷,音眷徐紀勉反下同
云與,音餘
婦見,賢遍反下注同
供,恭用反
養,羊尚反
不復,扶又反
則鬈,音權又居阮反
去之,起居反
鬌,丁果反音計字又作紒
韠,音必
長三,直諒反
下廣,古曠反下同
㑹,古外反注同
紕以,婢支反又方移反注同
純以,之閏反又支允反注同徐力移反
紃以,音巡徐辭均反
領縫,扶用反下同
之條,本又作條同吐刀反
