王制第五	如字徐于況反盧云漢文帝令博士諸生作此篇
郵罰	音尤俗作郵過也
麗	郎計反
當	丁郎反
假他	古雅反
之量	徐音亮後皆同
以别	彼列反
氾與	本又作汎孚劒反
比	必利反注同例也
正平	皮命反
棘木	紀力反
要之	於妙反謂要最舊一遥反
槐	回懷二音
三又	義作宥
遺忘	音妄
爲人	于僞反
易犯	以豉反後易犯同
侀人	音刑
析言	思曆反
亂名	如字王肅作循名
巧賣	起教反又如字
巫蠱	音古
鷸冠	尹必反徐音述
瓊弁	皮戀反
般	百閒反
行僞	下孟反
虚華	户瓜反又如字
日卜	人一反
金璋	之羊反
不中	丁仲反下皆同
幅廣	方服反
耒耜	力對反下音似
仲夏	戸嫁反下春夏同
蜃	常忍反雉化爲之
竟上	音境
苛察	音何又呼河反本亦作呵
諱惡	烏路反注同
札書	側八反
齊戒	側皆反本亦作齋下皆同
司㑹	古外反注同司㑹冡宰之屬掌計要者
勞農	力報反
食禮	音嗣注及下注幷下文食之並同
養於	如字俆以尚反下同
瞽亦	音古
異粻	陟良反糧也
不離	力智反
止觀	古亂反
唯絞	戸交反
紟	其鴆反
衾冒	亡報反
不煖	乃管反温也下同
珍從	才用反又如字
不與	音預下及注同
言糾	居黝反徐居酉反
作絿	音求又音糾
䍿	音皇本又作皇
冔	況甫反
縞衣	古老反又古報反
纁	許云反
則牟	亡侯反
追	丁雷反
復除	上音福下如字又直慮反
不養者	如字又以尚反
期	音基
少而	詩照反下注少者同
之矜	本又作鰥同古頑反
廩	兵品反
瘖	於金反啞也
聾	力東反
跛	彼我反
躄	必亦反兩足不能行也
侏儒	音朱
逺別	彼列反下文幷注同
隨行	如字一音戸剛反下鴈行同
任幷	必性反本又作倂
提	音啼
契	本亦作挈苦結反
十億	於力反
雍州	於用反
斷長	音短
去一	羌吕反
爲率	音律又音類
閒田	音閑下同
禄食	音嗣又如字下皆同
爲朝	于僞反
絜淸	如字徐才性反
用潘	芳袁反米汁也
辟賢	音避
冠	古亂反
長幼	丁丈反
斛	洪谷反
幅	方服反
狹	戸甲反
