月令第六	此是吕氏春秋十二紀之首後人刪合爲此記蔡伯喈王肅云周公所作
熛怒	必遥反下奴故反
爲將	于僞反下爲逆爲妨爲傷下文爲天子皆同
飲酎	直又反重釀之酒
長大	如字下繼長同或丁丈反非也
必當	丁浪反
蕃廡	音煩下亡甫反下同
有壊	音怪注同
墮	許規反又作隳下注同
始絺	勑其反
出行	下孟反下同
勞農	力報反
聚畜	丑六反又許六反
斷薄	丁亂反注同
薺	才禮反
草艾	魚廢反後皆同
言醇	音純
謂重	直龍反或直用反
釀	女亮反
於朝	直遥反
飲蒸	之承反後皆同
數來	所角反
則蝗	徐華孟反范音横字林音黄
仲夏昏亢	音剛又苦浪反
蕤賔	人誰反
應鍾	應對之應
交酢	才各反
螳	音堂
蜋	音郎螳蜋螵蛸母也
鶪	古闃反搏勞鳥字林工役反
反舌	鄭云百舌鳥蔡伯喈云蝦蟇
螵	匹遥反
蛸	音消
搏勞	音博又作伯
壯佼	古卯反
助長	丁丈反下長氣同
鞀	大刀反本亦作鞉同
鞞	步西反
竽	音于
竾	音池本又作篪同
簧	音黄
飭鐘	音勑
柷	昌六反
敔	魚吕反本又作圉
為將	于偽反下文為民注為傷為其皆同
大雩	音于
百辟	必亦反注同
句龍	古侯反
龍見	賢遍反下御見同
以雛	仕于反又仕俱反雞也爾雅云生啄雛
含桃	本又作函湖南反含桃櫻桃也
櫻	於耕反
艾藍	力甘反
可別	彼列反下文別羣同
暴布	歩卜反
大陽	音泰
無索	所白反
不難	乃旦反又如字
挺重	大頂反寛也
則執	如字蔡本作縶
相蹄	大計反蹋也本或作踶音同
廋人	所留反
敎駣	音兆又音道字林音桃
陽爭	爭鬪之爭注同
從八能	子用反
致和	戸臥反
嗜欲	市志反
晏隂	伊見反
角解	戸買反
蟬始	市志反
半夏	戸嫁反半夏藥草
木堇	音謹木堇王蒸也一名舜華
王蒸	之承反
臺榭	音謝
樓觀	古喚反
闍者	音都
雹	歩角反
凍	丁貢反
百螣	音特食苗葉蟲
乃饑	居疑反又音機
零落	本又作苓音同
民殃	於良反
疫	音役
季夏去一	起吕反後放此
不任	音壬又如字
純恪	苦各反
蟋蟀	上音悉下音率
腐草	扶矩反
爲熒	本又作螢戸扃反螢火蟲也或作腐草化爲螢者非也
攫	俱縛反一音九碧反
搏	音博
始鷙	音至本亦作摯同
蛟	音交
鼉	大多反又徒丹反
黿	音元
冒	亡報反
榜人	必孟反
