source,commentary
䷂屯,張倫反難也盈也坎宫二世卦
則否,備鄙反
得主則定,本亦作則寧
而難,乃旦反卦内除六二注難可餘並同賈逵注周語云畏憚也
天造,徂早反注同
草昧,音妹廣雅云草造也董云草昧微物
而不寧,而辭也鄭讀而曰能能猶安也
經論,音倫鄭如字謂論撰書禮樂施政事黃穎云經論匡濟也本亦作綸
磐,本亦作盤又作槃歩干反
桓,馬云槃桓旋也
晏安,本又作宴各依字晏一諫反宴一見反
下賤,遐嫁反
屯如,子夏傳云如辭也
邅如,張連反馬云難行不進之貌
乗馬,繩證反四馬曰乗下及注並同鄭云馬牝牡曰乗子夏傳音繩
班如,如字子夏傳云相牽不進貌鄭本作般
媾,古后反馬云重㛰本作冓鄭云猶會本或作構者非
相近,附近之近下近五同又如字
即鹿,王肅作麓云山足
君子幾,徐音祈辭也注同又音機近也速也鄭作機云弩牙也
如舎,式夜反止也注下同徐音捨
往吝,力刃反又力愼反馬云恨也
雖比,毗志反下皆同
之易,以豉反
不揆,葵癸反
以從,如字鄭黃于用反
合好,呼報反下同
恢弘,苦回反大也
博施,式豉反及下文皆同
拯,拯救之拯
亨于,許庚反
他閒,閒厠之閒
漣如,音連說文云泣下也
應援,于眷反又音袁
闉,音因塞也春秋傳云當陳隧者井堙木刋是也
厄,於革反又於賣反
委仰,如字又魚亮反
長也,直良反
