source,commentary
定下第二十八杜氏盡十五年經八年皐鼬,由又反
國夏,户雅反年末注同
于瓦,顔寡反
燕縣,音煙
侯柳,力九反本或作抑
曲濮,音卜
不見,賢遍反
之璜,音黃
封父,音甫
傳八年六鈞,音均三十斤爲鈞
古稱,尺證反
異強,其丈反
而傳,直專反
子鉏,仕居反
與一人俱斃,婢世反仆也顔髙與一人俱爲子鉏所擊而仆
仆也,音赴又蒲北反孫炎云前覆曰仆
偃且,如字
射,食亦反下同
子鉏中,丁仲反下同
頰,古協反
殪,於計反死也言顔髙雖爲子鉏所擊偃仆且射子鉏中頰而死言其善射也一讀且音子餘反云偃且人姓名也檢世族譜無此人一讀者非也
乃呼,火故反注同
也殿,丁電反注同
單子,音善
儋翩,丁甘反下音篇
伐盂,音于
好逆,呼報反
其使,所吏反
使溷,侯温反又侯困反
大行,音太下戸郎反一音衡
廩丘,力甚反
之郛,芳夫反
焚衝,昌容反戰車也說文作䡴云陷陣車也
或濡,人于反
馬褐,戸葛反褐馬衣也
必復,扶又反
盡客,苦百反
苫越,式占反
僑如,其驕反
入竟,音境
中行,戸郎反
鄟澤,音專又市轉反本亦作䧠音同
渉佗,徒河反
焉得,於䖍反
將歃,所洽反
捘衞,子對反擠也
及捥,烏喚反
捘擠也,子計反一音子禮反說文云排也
晉詬,呼豆反恥也
語之,魚據反
爲質,音致注及下同
羈絏,息列反
以從,才用反下注從弟下從者同
有難,乃旦反
以激,古狄反
監帥,古銜反
爲周報,于僞反下同
季寤,五故反
不狃,女九反
欲去,起吕反
更季氏,音庚代也舊古孟反下音同
禘于,大計反
蒲圃,布五反
先癸巳,悉薦反
以鈹,普皮反
盾,食允反又音允
夾之,五洽反
陽越殿,丁見反
咋謂,仕詐反暫也
於難,乃旦反
圉人,魚吕反
以爲,于僞反
而騁,勑領反
射之,食亦反下同
不中,丁仲反
闔門,戸臘反
劫公,居業反
州仇,音求
說甲,本又作稅同他活反
得脫,徒活反或他活反
曰嘻,許其反懼聲
辨舎,上音遍注徧同下如字
于讙,音歡
駟歂,市專反
鄧析,星歷反
經九年伯蠆,勑邁反
分器,扶問反
傳九年向巢,舒亮反
衰絰,七雷反下田結反下同
舎鍾,音捨
其邪,似嗟反注同
彤管,徒冬反
邶風,音佩
雖說,音恱
竿旄,音干下音毛
鄘風,音容
蔽芾,芳味反蔽芾小貌
召伯,音邵注同
所茇,畔末反草舎也
而祗,音支
若麟,本又作驎吕辛反
俘爲,芳夫反
萊門,音來
天葘,音災
師罷,音皮
焉,於䖍反
頃覆,音傾本又作傾下芳服反
鍥,苦結反刻也
其軸,音逐
葱靈,初江反或音忽
輜車,側其反說文云衣車也
爲衞,子僞反下同
必娶,七住反
卿相,息亮反
於霤,力又反
所樂,如字又五孝反
犂彌,力兮反
又譎,古穴反
曩者,乃黨反嚮也
之難,乃旦反
如驂,七南反騑馬也
之靳,居覲反車中馬也本或作如驂之有靳非也
與書爭,爭鬪之爭又如字
千乗,繩證反
不復,扶又反
褚師,中吕反
其帥,所類反注同
事見,賢遍反
致禚,諸志反
媚,武冀反
杏,戸猛反
皙,星歷反
幘,音䇿又音責齒上下相值也說文作䶦音義同
而衣,於旣反
貍,力之反
製,音制裘也
吾貺,音況賜也
令常,力呈反
不共,音恭
三襚,音遂
比殯,必利反
故挽,音晚
親推,如字又他回反
經十年夾谷,古洽反又古協反二傳作頰谷音古木反
鄆,音運
讙,火官反
汶陽,音問
孔子相,息亮反
圍郈,音后字林下遘反
弄馬,魯貢反
曁,其器反與也
仲佗,徒河反
石彄,苦侯反
向魋,大回反
靜難,乃旦反
傳十年丘相,息亮反注同
兵劫,居業反
合好,呼報反下同
裔,以制反逺也
之俘,芳夫反
謀夏,戸雅反
不偪,彼力反
爲愆,去連反
遽,其據反
辟之,婢亦反又音避注同
去萊,起吕反
出竟,音境
三百乗,繩證反
盟詛,側據反
玆無還,音旋
以共,音恭注同
要盟,一遥反
犧象,許冝反又息河反注同犧象皆尊名
秕,音鄙榖不成者也字林音匕又作粃又必履反
稗,皮賣反草似穀者
子盍,户臘反下同
齊爲衞,于僞反
邯,音寒
鄲午,音丹
城其西北而守之,一本或作城其西北隅
宵熸,子濳反
渉沱,徒河反
如植,市力反立也一音直
不遄,市專反
若藐,音邈又口小反
射之,食亦反下并注同
劒鋒,芳逢反
向已,許亮反亦作嚮
逆呵,呼多反
刺之,七亦反
復圍,扶又反
在揚水卒章,本或作揚之水卒章
齊使,所吏反注同
爲之,于僞反下注爲齊同
衆兇,音凶一音凶勇反
得紓,音舒
偪魯,彼力反
必倍,歩罪反
走呼,火故反
介侯犯,音界
犯殿,丁見反
物識,申志反又如字
與之數,色主反注同
名簿,歩古反
嬖,必計反
蘧,其居反
富獵,力輒反
尾鬣,力輒反爾雅舍人注云馬􁍅也􁍅音子工反
抶魋,勑乙反
盡腫,章勇反
有頗,普多反
出竟,音境
辰爲,于僞反注猶爲同
迋吾,求往反又古況反欺也
