source,commentary
昭五第二十四杜氏盡二十二年經十八年入鄅,音禹許愼郭璞皆音矩國名
琅邪,音郎本或作郎
自葉,始渉反
傳十八年毛伯過,古禾反
萇弘,直良反
稔之,而審反孰也
侈故,昌氏反又尺氏反
夏伯,戸雅反
昬見,賢遍反
壬午大甚,本或作火甚
其處,昌慮反下祭處同
故登以望氣,本或作以望氛氣
數日,所主反
禳火,如羊反
今復,扶又反下同
國幾,音祈又音機下同
竈焉,於䖍反
有中,丁仲反
里析,星歷反
將有大祥,本或作火祥非也
身泯,而忍反
將先,悉薦反
以知,音智
使輿,音餘
其柩,巨久反
爲其,于僞反
欲令,力呈反
巡行,下孟反下文行火下注履行同
主祏,音石
石函,音咸
易救,以豉反
各儆,音景
寘諸,之豉反
所焮,許靳反炙也
玄㝠,亡丁反
四鄘,音庸城也
賦稅,始銳反
妘姓,音云
盡俘,芳夫反
從帑,音奴
不說學,音恱
歸以語,魚據反
上替,他計反
殖也,時力反
生長,丁丈反
爲火故,于僞反下將爲蒐同
祓禳,芳弗反徐音廢
蒐場,直良反
處小,昌慮反
過女,音汝注同
而郷,許亮反本亦作向注同
及衝,昌容反
使從,才用反
登陴,婢支反
忘守,手又反一音如字
撊然,遐板反勁忿貌
勁忿,古政反
恐懼,丘勇反
讒慝,他得反
之閒,閒廁之閒
荐爲,在遍反重也
荐重,直用反下文同
他竟,音境注同
楚喪,息浪反
君盍,户臘反
許先,悉薦反
而復,扶又反
蔽障,章亮反
不可易,以豉反注同輕也
子說,音恱
於析,星歷反
經十九年爲鄅,于僞反
加殺,音試
不舎,音捨
傳十九年城郟,古洽反
其僅,音覲
以持,如字本或作恃怙之恃非也
郹陽,古闃反
伍貟,音云
少師,詩照反
王爲之,于僞反注同
與逆,音預
嬴氏,音盈
向戌,傷亮反下音恤
圍蟲,直忠反
悼公瘧,魚略反病也
舎藥,音捨注及下注舎子同
郳人,五兮反
伐濮,音卜
之伯,音霸又如字
諸夏,戸雅反
僻陋,匹亦反
城父,音甫
而寘,之豉反
王說,音恱
紀鄣,音章
贛榆,古弄反如淳音耿弇反下音俞
釐婦,力之反寡婦也依字作嫠
紡焉,方往反
以度,待洛反注同
而去之,起吕反藏也裴松之注魏志云古人謂藏爲去案今關中猶有此音
紡纑,力吳反麻縷也
夜縋,直僞反
鼓譟,素報反
上之人亦譟,一本作城上之人亦譟
共公,音恭
幼少,詩照反
駟氏聳,息勇反懼也
札,側八反一音截夭死也字林作㱜壯列反云夭死也
瘥,子河反小疫也字林作􁑜
夭,於表反短折也
昬,如字未名而死曰昬
小疫,音役
又喪,息浪反
懼隊,直類反
立長,丁丈反注同
實剥,邦角反
諺曰,音彦
無過,古禾反下同又一音古臥反
猶憚,待旦反
其使,所吏反注同
沈尹戌,音恤
葉公,始渉反
子旗,音其
以挑,徒了反
民樂,音洛
勞罷,音皮本或作疲
洧淵,于軌反
爲禜,爲命反
我覿,大歷反
見也,賢遍反
之知,音智
蹶由,九衞反
舎前,音捨又音赦
經二十年自鄸,莫公反一音亡増反字林音夢案夢字字林亡忠反
之使,所吏反
兄縶,張立反
華亥,戸化反
君爭,爭鬪之爭
惡之,烏路反
侯盧,力烏反本又作廬力於反
傳二十年望氛,芳云反氣也
幾亡,音祈又音機
後弭,彌耳反
汏侈,音泰
奮揚,方問反
大子冤,於元反
遣令,力呈反
使而,所吏反又如字
再奸,音干
使還,音環下還豹同
盍以,戸臘反
棠君尚,君或作尹
弟貟,音云
之長,丁丈反
吾知,音智注及下知也同一音如字
不逮,音代一音大計反
度功,待洛反
擇任,音壬注同
愈差,初賣反
其旰,古旦反
僚也,力彫反
姑爲,于僞反
乃見,賢遍反
鱄設諸,音專
吳殺,申志反
而惡,烏路反
御戎,魚吕反又如字
公孫援,于眷反
拘向勝,九于反
其廩,力甚反
大子欒,力官反
爲質,音致下同
辰及地皆元公弟,案公子辰是景公之母弟地是辰兄皆當爲元公之子今注皆作元公弟誤耳
無慼,千歷反
狎齊豹,戸甲反輕也
與鄄,音絹
惡北,烏路反
褚師,中吕反
圃,布五反
欲去,起吕反
公子朝,如字
適母,丁歷反本亦作嫡
見宗魯,賢遍反
爲驂,七南反
乗焉,繩證反注及下驂乗與乗一乗駟乗就公乗皆同
勿與,音預又如字
吾逺,于萬反
借我,子夜反
親近,附近之近
聞難,乃旦反
是僭,子念反不信也
祝鼃,烏媧反
寘弋,之豉反
要其,一遥反
從公孟,如字又才用反
華齊,戸化反下同
及閎,音宏
斷肱,丁管反下古弘反
以中,丁仲反下中南楚同
乗驅,如字又繩證反
閱門,音恱
慶比,如字又毗志反
鴻駵,音留
魋,徒回反
復就,扶又反
之衢,其俱反
遂從,才用反注及下注同
肉袒,徒旱反
氏爭,争闘之争
之處,昌慮反
射公,食亦反
欲令,力呈反
從公,才用反又如字下從公同
析朱,星歴反
鉏,仕居反
竇出,音豆
頃公,音傾
在竟,音境
草莽,莫蕩反
之好,呼報反
宗祧,他彫反
以其良馬見,賢遍反下注客禮見同
為未,于偽反
致使,所吏反注同
乗馬,繩證反又如字
將掫,側九反又祖侯反行夜也
行夜,下孟反
從者,才用反
牧圉,魚呂反
扞外,户旦反
執鐸,待洛反
終夕與,音預下不與聞謀與於青之賞同
燎,力召反又力弔反一本作終多與於燎
徧賜,音遍
苑何忌,於元反
名牢,力刀反
女何,音汝
不為,于偽反
疚於,居又反病也
回邪,似嗟反下同
知難,乃旦反下同
郳甲,五兮反
鬼閻,似廉反又以冉反
必盥,古緩反
而食,音嗣下食公子同
所質,音致下同
費遂,扶味反
求去,起吕反
滋長,丁丈反注及下同
其訽,許候反恥也本或作詬同
少司,詩照反下注少皡同
寇牼,苦耕反
