source,commentary
文王之什第二十三大雅,自此以下至卷阿十八篇是文王武王成王周公之正大雅據盛隆之時而推序天命上述祖考之美皆國之大事故爲正大雅焉文王至靈臺八篇是文王之大雅下武文王有聲二篇是武王之大雅
文王而王,于況反
於昭,音烏歎辭也注及下於緝并注皆同
昭見,賢遍反下著見同
著,珍慮反
崩諡,音示愼也悉也生存之行終始悉録之以爲諡也
大王,音泰後大王皆同
亹亹,音尾勉也
令聞,音問注同
哉周,如字毛載也鄭始也左傳作載本又作載同
敷恩,音孚
之施,始豉反
適爲,音的字或作嫡
之楨,音貞榦也
其爲,于僞反下天爲此同
濟濟,子禮反多威儀也後濟濟皆同
緝,七入反
煕,許其反緝煕光明也
假哉,古雅反固也
其麗,力計反沈又力知反數也
祼將,古亂反灌也
黼,音甫
􁇥,況甫反殷冠名字林作又火于反
鬯也,勑亮反
夏后,戸雅反
藎臣,才刃反
爲之法,一本作爲之法度
聿脩,于必反述也
未喪,息浪反注同
巳上,時掌反本作以
自紂,直久反
駿命,音峻又音俊大也
不易,毛以豉反不易言甚難也鄭音亦言不可改易也下文及後不易維王同
無遏,於葛反或作謁音同止也韓詩遏病也
義問,毛音儀善也鄭如字
虞度,待洛反下同
宣徧,音遍下同
大明復命,扶又反
赫赫,呼伯反恐也
徴應,應對之應
炤,章遥反本或作灼
晢,之設反
見於,賢遍反
忱斯,市林反信也
殷適,音的注同
不挾,子燮反逹也一作子協反
摯仲,音至摯國名仲字
氏任,音壬注同下大任皆放此
曰嬪,毗申反婦也
之中,丁仲反下同
大任,音泰後大任大姒大姜皆同
身重,直勇反又直龍反謂懷孕也廣雅云有娠也下同
懷孕,以證反
在洽,戸夾反一音庚合反水名也案馮翊有郃陽縣應劭云在郃水之陽郃音戸荅反
在渭,音謂水名
之涘,音士水涯也
合妃,音配字亦作配下皆同
則爲,于僞反下天爲亦爲同
之處,昌慮反
俔,牽遍反磬也徐又下顯反說文云譬譽也韓詩作磬磬譬也
親迎,魚敬反
造舟,七報反又七道反毛云天子造舟方言云浮梁也廣雅作艁音同說文艁古造字一音才早反
輝,音暉
纉女,子管反繼也
維莘,所巾反大姒國也
長子,張丈反注同
保右,音佑助也字亦作佑注同
燮伐,蘇接反和也
協,戸頰反
會,古外反
牧野,州牧之牧徐音目在朝歌南七十里是周武王與紂戰於牧野之地
維予,毛羊藘反鄭羊吕反
不爲,于僞反又如字
陳於,如字又直刃反
洋洋,音羊廣也
檀車,徒丹反
煌煌,音皇明也
駟騵,音元駵馬白腹曰騵
駵馬,音留
涼彼,本亦作諒同力尚反佐也韓詩作亮云相也
大師,音泰
鷙,之利反
上將,子匠反
肆伐,音四毛疾也鄭故今也
師帥,所類反亦作率
㙁誓,音牧本又作牧
昧爽,音妹
緜,彌延反
本由,一本無由字
大王也,序舊無注本或有注者非
瓜,古華反
􁇦,田節反瓝也韓詩􁇦小瓜也
沮,七余反
漆,音七毛云沮漆二水名
瓝,蒲剥反小瓜也
長大,張丈反
嚳,苦毒反髙辛氏帝也
之胄,直又反
封邰,他來反
王業,于況反亦如字後王業同
亶,都但反
父,音甫本亦作甫
陶,音桃
復,音福注同累土於地上也說文作覆
或殷以名言,絶句
翟,音狄
屬其,音燭
岐,其冝反
其壤,而丈反
鑿,在洛反
爲二,于僞反
來朝,直遥反
水滸,呼五反水涯
辟惡,音避本亦作避後放此
相可,息亮反
賢知,音智
膴膴,音武美也韓詩同
堇,音謹毛菜也案廣雅云堇藋也今三輔之言猶然藋音徒弔反
荼,音徒苦菜
如飴,音移
爰契,苦計反開也本又作挈一音苦結反
灼,之略反
廼疆,本亦作壃同居良反注及後放此
廼宣,如字鄭云時耕曰宣王云徧也
卑立,必爾反本亦作俾注同後皆放此
位處,昌慮反
其繩,如字本或作乗案經作繩傳作乗箋云傳破之乗字後人遂誤改經文
縮版,色六反
廏,音救
廣輪,光浪反
以索,桑洛反
捄之,音俱吕沈同虆也徐又音鳩
陾陾,耳升反又如之反衆也說文云築牆聲也音而
度之,待洛反注同毛居也鄭投也韓詩云塡也
薨薨,呼弘反沈呼萌反爾雅云衆也王云亟疾也
削屢,力注反又力朱反注同
馮馮,扶冰反注同
虆,力追反沈力戈反字或作樏或作蘲音同劉熙云盛土籠也
鍛,丁亂反
捊也,薄侯反爾雅云聚也說文云引取土
盛之,音成
百堵,丁古反
鼛,音羔大鼓也長一丈二尺
弗勝,音升
謂之應,應對之應小鼓也
鼙,薄迷反
皐門,音羔
有伉,本又作亢苦浪反髙也韓詩作閌云盛貌
將將,七羊反注同嚴正也
朝門,直遥反下同
大社,音泰下大社同
蜃,市軫反器名
不殄,田典反
厥愠,紆問反恚也
不殞,韻謹反墜也
柞,子洛反櫟也後同
棫,音域白桵也後同三蒼云棫即柞也字林于目反
拔矣,蒲貝反又蒲蓋反下同
兊矣,吐外反成蹊也又徒外反
恚也,一遂反
隊也,直類反
成蹊,音兮
櫟,音歷
白桵,如誰反後同
絶去,羌吕反
恚惡惡人,上烏路反下如字
