source,commentary
甫田之什第二十一甫田倬彼,陟角反明貌韓詩作箌音同云箌卓也
甫之言丈夫也,直兩反依義丈夫是也本又作大夫一本甫也之言夫也又一本甫之言大
大古,音㤗
欲見,賢遍反
食我,音嗣
賖,音奢
貰,音世又食夜反說文云貸也
以紓,音舒何常汝反
之蓄,勑六反
芸,音云沈又音運本又作耘音同除草也
耔,音子沈音兹壅禾根也
薿薿,魚起反徐又魚力反茂盛也
攸介,音界鄭舍也王大也
烝我,之承反
髦士,音毛俊也
民鋤,本又作助同仕魚反
閒暇,音閑
之處,昌慮反
講肆,以四反字亦作肄同
之行,下孟反
齊明,本又作齎又作齍同音資注同器實曰齊
犧羊,許冝反
為五榖,于偽反下為農親為為之皆同
大蜡,仕詐反
勞農,力報反篇末勞賜同
以御,牙嫁反迎也注同
吹豳,彼貧反本亦作邠
以樂,音洛
饁彼,于輒反饋也
田畯,子峻反本又作俊後篇同
至喜,毛如字鄭為饎饎酒食也尺志反下篇同
攘其,如羊反鄭讀為饟式尚反饋也王如字
饋也,巨愧反
從行,才用反
禾易,以豉反治也徐以赤反
如茨,徐私反積也鄭屋蓋也
之庾,羊主反
如坻,直基反水中之高地
積也,如字又子賜反下皆同
有藁,古老反
納,作孔反
委積,如字又於僞反
年收,手又反又如字
無疆,居良反
無竟,如字
大田矜寡,古頑反注皆同字或作鰥
旣種,章勇反此注及下注擇種並同
可墾,苦很反
先相,息亮反
土長,張丈反
冒,莫報反
橛,其月反
覃,以冉反徐又以廉反利也
俶載,衆家並如字俶音尺叔反始也載事也鄭讀爲熾葘熾音尺志反葘音緇
栗,音列鄭注周禮云讀如裂繻之裂
旣皁,才老反
不稂,音郎又音梁童梁草也說文作蓈云稂或字也禾粟之莠生而不成者謂之童蓈也
不莠,餘久反
去其,起吕反注同
螟,莫庭反
螣,字亦作徒得反說文作􁇟
蟊賊,本又作蛑莫侯反爾雅云蟲食苗心曰螟食葉曰螣食節賊食根蟊隨所食爲名郭云皆蝗類也
田稺,音稚下同
秉,如字執持也韓詩作卜卜報也
畀,必二反與也
炎火,于沾反沈于凡反
氣嬴,音盈
有渰,本又作弇於檢反雲興貌漢書作黤
萋萋,七西反雲行貌
興雨,如字本或作興雲非也
祁祁,巨移反徐也
雨我,于付反注内主雨同一本主作注雨如字
不穫,戸郭反
斂穧,上力檢反下才計反又子計反穧穫也
滯穗,音遂
秉把,巴馬反
故矜,音鰥
饋食,音嗣
勞倦,力報反
禋祀,音因
以享,許兩反徐又許亮反
􁇠,伊糾反黒也
瞻彼洛矣,洛水名
泱泱,於良反深廣貌
漑,古愛反
浸水,子鴆反
灌漑,古亂反
韎,音昧又亡界反
韐,音閤又古洽反
有奭,許力反赤貌
茅,如字
蒐,所留反
代韠,音畢
任,音壬
軍將,子匠反下同
䊷衣,音緇
纁裳,許云反
鞞,字又作琕補頂反說文云刀室也
琫,字又作䩬必孔反佩刀鞘上飾
