source,commentary
魚藻之什第二十二魚藻,音早水草也
鎬,胡老反
自樂,音洛篇内唯注八音之樂一字音岳餘並同
頒,符云反大首貌說文同韓詩云衆貌
著見,賢遍反
豈樂,本亦作愷同苦在反樂也下同
悛心,七全反改也沈又七旬反
有莘,所巾反長貌
有那,乃多反鄭安貌王多也
采菽,本亦作叔菽大豆也
侮慢,亡甫反
來朝,直遥反篇内皆同
數徴,色角反音朔
爲合,于僞反
筐之,音匡
筥之,音舉
以芼,亡報反
則薇,音微
爲藿,火郭反
用鉶,音刑
羹,古衡反
乗馬,繩證反下注車乗驂乗同
玄衮,古本反玄衮冕服
及黼,音斧徐又音補
卷龍,眷勉反下同本又作衮
黻,音弗
絺衣,知里反本又作薾同雉知反
鷩,必滅反冕也
毳,尺銳反
觱,音必
沸,音弗觱沸泉出貌
檻泉,銜覧反徐下斬反爾雅云檻泉正出正出涌出也
其芹,巨斤反水菜也
爲菹,側魚反
絜淸,如字一音才性反
其旂,巨機反
淠淠,匹弊反徐孚蓋反又芳計反動也
嘒嘒,呼惠反中節也
載驂,七南反騑馬曰驂
載駟,音四
所屆,音界極也
中節,丁仲反
諸侯將朝于王,一本無于字皆以王字絶句一讀諸侯將朝絶句以王字下屬
乗乗,上音承證反下音繩
赤芾,音弗
在股,音古脛本曰股
邪,似嗟反注同
幅,音福偪也如今之行縢
匪紓,音舒紓緩也
所予,音與
偪,彼力反
大古,音泰
之韠,音必
上廣,光曠反下同
長三,直亮反
脛本,胡定反
行縢,徒登反
解怠,古賣反
樂只,上音洛下音止
申重,直用反下同
禮樂樂之,上音岳下音洛
維柞,子洛反又音昨木名
蓬蓬,歩公反盛貌注同
殿天,多見反塡也注同
鎭,陟愼反又音珍本作塡
平平,婢延反辯治也韓詩作便便云閑雅之貌
汎汎,芳劒反
紼,音弗爾雅云紼繂也繂音律
纚,力馳反緌也韓詩云筰也筰音才各反
緌也,如誰反
葵之,其維反揆也
膍,頻尸反厚也韓詩作肶注同
角弓而好,呼報反
騂騂,息營反調和也沈又許營反說文作弲音火全反
翩其,匹然反
紲,息列反弓䪐也
檠,音景弓匣也說文云榜也謂輔也
胥,息徐反
易以,羊豉反
傚矣,戸敎反
綽綽,處若反寛大也
有裕,羊樹反饒也
爲瘉,羊朱反病也
一處,昌慮反
怨恚,一瑞反
比周,毗志反
鄙爭,爭鬪之爭
爲駒,音拘
而孩,本作咳戸才反許愼云小兒笑也
幼稺,音稚
如食,音嗣注同
冝,如字本作儀注同韓詩云儀我也
饇,於據反飽也徐又於且反
孔取,如字沈又音娶
冝令,力呈反
如飲,於鴆反
度,待洛反
所勝,音升
其量,音亮
猱,乃刀反沈乃遘反猨屬
塗附,如字毛著也鄭木桴也
猨屬,音袁字或作猿
附著,直略反下同
木桴,音孚
有徽,音暉美也
與屬,音蜀注同讀者亦音樹
亦樂,音洛又音岳又五敎反下樂善同
雨雪,于付反注及下同
瀌瀌,符驕反徐符彪反又方苗反雪盛貌
見,如字下文同韓詩作曣音於見反云曣見日出也
晛,乃見反日氣也
曰消,音越下同韓詩作聿劉向同
始見,賢遍反又如字
肯下,遐嫁反注卑下同又如字
遺,王申毛如字鄭讀曰隨
婁驕,王力住反數也徐云鄭音樓斂也爾雅云裒鳩樓聚也沈力俱反
如髦,舊音毛尋毛鄭之意當與尚書同音莫侯反
之行,下孟反
菀柳,音鬱木茂也徐於阮反
不中,丁仲反下注不中同
欲朝,直遥反篇内同
甚蹈,音悼毛動也鄭作悼病也
自暱,女栗反又女筆反徐乃吉反近也
俾予,必爾反本作卑使也後皆同
予極,毛如字至也鄭音棘誅也
