source,commentary
蕩之什第二十五蕩,唐黨反蕩蕩法度廢壞之貌
召穆,時照反本又作邵卷内召公召伯皆同
之辟,必亦反注同君也沈云毛音埤益反
多辟,匹亦反邪也本又作僻注同
賦斂,力豔反
駿刑,荀閏反本亦作峻
多邪,似嗟反
烝民,之承反衆也
匪諶,市林反誠也
鮮克,息淺反注同寡也
敎道,音導本亦作導
彊禦,魚吕反
掊克,蒲侯反聚斂也又自伐而好勝人也徐又甫垢反
而好,呼報反
朝廷,直遥反下朝廷同
滔德,他刀反漫也
滔漫,亡諫反本亦作慢又作嫚下同一音亡半反
倨慢,居庶反
多懟,直類反
寇攘,如羊反
姦宄,音軌
侯作,側慮反祝詛也注同本或作詛
侯祝,周救反注同本或作咒非
靡屆,音界極也
靡究,音救
炰,白交反
烋,火交反注同炰烋猶彭亨也
亨也,許庚反
不逞,勑領反
無背,布内反又蒲妹反後也
無陪,本又作培蒲迴反貳也
湎,靣善反徐莫顯反飲酒齊色曰湎韓詩云飲酒閉門不出客曰湎
旣愆,本又作諐起連反過也
式號,戸刀反注同
式呼,火胡反又火故反注同崔本作謼或一本作或號或呼
卑晝,必爾反使也本亦作俾後皆同
耽湎,本或作湛都南反
不爲,于僞反
蜩,音條蟬也
螗,音唐蝘也
如沸,方味反
蟬,市延反字林云蟪蛄
蝘,音偃蟬屬也草木䟽云一名虭蟟靑徐謂之螇楚人名之蟪蛄秦燕謂之蛥蚗或名之蜒蚞郭云俗呼爲胡蟬江南謂之唐􁇨
沓沓,徒荅反
近喪,附近之近又如字注同
奰,皮器反舊音備怒也不醉而怒曰奰
覃,徒南反
􁇜於,市制反又時設反說文云習也
好怒,呼報反
臣扈,音戸
顚,都田反仆也
沛,音貝拔也
之揭,紀竭反根見貌
先撥,蒲末反絶也
仆也,蒲北反又音赴
拔也,皮八反又半末反
見貌,賢遍反謂樹根露見王如字言可見
蹶貌,其厥反沈居衞反一音厥
夏后,戸雅反注同
抑,於力反抑抑密也
自警,居領反
靡喆,本又作哲亦作悊陟烈反智也下同
則知,音智
德行,下孟反注同
以倡,昌亮反
道之,徒報反本亦作導下敎道同
訏,況于反大也
謨,莫蒲反謀也沈云本亦作漠音莫
爲天下,于僞反篇末今我爲王同
顚覆,芳服反下覆謂覆用并注同
荒湛,都南反注及下同
樂於,音洛下文及注同
克共,九勇反執也注同
雖好,呼報反
耆酒,市志反
傚女,戸敎反
廣索,所白反
淪胥,音倫率也
洒,色懈反灑也注同又所寄反
埽,素報反
廷内,音庭
灑也,色懈反
用逷,他歷反毛云逺也鄭作剔音同治也沈上益反
故復,扶又反
戒將,子匠反
帥,所類反本或作率
非度,待洛反下不億度同
出話,戸快反善言也
之玷,丁簟反沈丁念反缺也說文作㓠
磨鑢,音慮
反復,音服又豐服反本亦作覆
無易,以豉反注同
捫,音門持也
不讎,市由反用也徐云鄭市又反
則售,市又反一本作讎謂讎物價也此音則與毛同
賈,加霸反下同
靡不承,一本靡作是
輯柔,徐音集又七入反和也
䏩肩,本又作脇香及反又虛劫反沈又於闔反
諂笑,勑檢反趙岐注孟子云脇肩竦體也諂笑強笑也
近之也,附近之近一本無之字近則依字讀
相在,息亮反注同
不媿,俱位反
屋,如字或云鄭於角反
漏,魯豆反西北隅謂之屋漏
云覯,古豆反
於奥,烏報反西南隅謂之奧
饌,仕春反
而䨾,扶味反隱也沈云許慎凡非反
度思,待洛反注度知同
矧可,申忍反況也
射思,音亦厭也
不譖,本亦作僭子念反差也注及下我譛同
鮮不,息淺反少也
猶擿,直赤反
實虹,戶公反潰也鄭戶江反
潰也,戶對反
荏,而甚反
染,而漸反荏染柔意
言緡,亡巾反被也
共人,音恭本亦作恭
被也,皮寄反下同
柔忍,音刃本亦作刃
告之話言,戶快反話言古之善言說文作話云詁故言也
語,魚慮反下面語之同
賢知,音智
於乎,上音烏下音呼凡此二字相連音皆於此
臧否,音鄙注同臧善也否惡也
言提,音啼
掣之,尺世反拽也
提撕,音西
借曰,子夜反假也注及下同
未知,如字沈音智下夙知亦同
假令,力呈反
幼少,時照反下同
長大,丁丈反
而莫,音暮本亦作暮
成與,音餘
靡樂,音洛注同
夢夢,莫空反沈莫登反亂也注同
慘慘,七感反
愬其,音素後皆同
諄諄,字又作訰之純反又之閏反說文埤蒼並云吿曉之熟
藐藐,美角反不入也爾雅云悶也
聆,音零
旣耄,莫報反老也
曰喪,上音越下息浪反韓詩作聿喪
不忒,他得反差也
回遹,于橘反
維邪,似嗟反
其行,下孟反
匱盡,求位反
桑柔芮伯,如銳反國名
菀彼,音鬱注同茂貌又於阮反
侯旬,如字又音荀均也
捋采,力活反注同
瘼此,音莫病也
言隂,於鴆反本亦作䕃下同
爆,本又作暴同音剥下同
爍,本又作樂或作落同音洛郭盧角反
柔濡,而轉反
人庇,必寐反又音祕本亦作芘同
當被,皮寄反
倉,初亮反喪也注同
兄,音況注同滋也本亦作況
塡兮,音塵久也
倬彼,陟角反眀大貌
騤騤,求龜反不息也
旟,音輿
旐,音兆
有偏,音篇本亦作翩
不泯,面忍反又名賔反滅也徐又音民
鳥隼,荀允反
適長,上丁厯反下丁丈反
有黎,力奚反毛齊也鄭不齊
以藎,才刃反災餘曰藎本亦作燼同
猶比,毗志反又如字下同廣雅云頻比也
蔑資,音滅輕也
止疑,魚陟反定也
今復,扶又反下不復考慎同
為梗,古杏反病也
而好,呼報反
力爭,爭鬬之爭下同
慇慇,於巾反樊光於謹反爾雅云憂也
僤怒,都但反厚也本亦作亶同
士卒,尊忽反
痻,武巾反病也一音昬注同
我圉,魚呂反毛云垂也鄭改作禦音同謂禦宼也
為毖,音秘慎也
斯削,相略反
以濯,直角反
我語,魚據反
禍難,乃旦反下患難同
遡風,音素
之僾,音愛唈也
荓云,字又作迸音普耕反徐補耕反本或作拼同使也
不逮,音代一音大計反及也
好是,呼報反注但好同
家,王申毛音駕謂耕稼也鄭作家謂居家也下句家穡惟寳同
穯,本亦作嗇音色王申毛謂收穡也鄭云吝嗇也尋鄭家嗇二字本皆無禾者下稼穡卒痒始從禾
郷也,本又作嚮同許亮反下同
唈,烏合反
令代,力呈反
不能治人者食人,音嗣
蟊,莫侯反說文作䖥
卒痒,音羊病也
蟲孽,魚列反說文作蠥云衣服謌謡草木之怪謂之妖禽獸蟲蝗之怪謂之蠥
哀恫,音通痛也本又作痌
具贅,之芮反又拙稅反屬也
穹蒼,起弓反
朝廷,直遥反下皆同
者與,音餘下所行者惡與同
其相,毛如字質也鄭息亮反助也
宣徧,音遍下同
之行,下孟反下荼毒之行悖逆之行民之行皆同
有肺,本又作胇芳廢反
甡甡,所巾反衆多也聲類云聚貌
巳譖,子念反不信也本亦作僣
相輩,一本作相配
欺背,音佩卒章同
罪役,一本作罷役罷音皮
覆,芳服反下及注除覆䕃字皆同
狂,王居況反鄭求方反
爲王,于僞反
分別,彼列反
皁白,才早反
弗迪,徐徒歷反
索,音色
荼毒,音徒
愠恚,紆運反
大風,毛如字鄭音泰泰風西風也
有隧,音遂道也
中垢,古口反
敗類,伯邁反注同
則應,應對之應
我悖,蒲對反逆也
之閒,如字又音閑
隂女,鄭音䕃覆䕃也王如字謂隂知之
赫,毛許白反炙也與王赫斯怒同義本亦作嚇鄭許嫁反口距人也莊子云以梁國嚇我是也
