source,commentary
列禦寇第三十二,以人名篇或無列字
瞀人,音茂又音務
奚方,李云方道也
吾驚焉,李云見人惑己即逺驚也
惡乎,音烏
十􁒫,子祥反本亦作漿司馬云􁒫讀曰漿十家並賣漿也
五􁒫先饋,饋遺也謂十家中五家先見遺王云皆先饋進於己
不解,音蟹司馬音懈
形諜,徒協反郭云便辟也說文云閒也
成光,司馬云形諜於衷成光華也
便辟,婢亦反
貴老,謂重禦寇過於老人
而􁒬,子兮反亂也
爲食,音嗣
贏,音盈
萬乗,繩證反
而效,如字本又作校古孝反
保女,司馬云保附也
无幾,居豈反
敦杖,音頓司馬云豎也
蹙之,子六反
賔者,本亦作儐同必刃反謂通客之人
跣而,先典反
曁乎,其器反
發藥,如字司馬本作廢云置也
而焉,於䖍反
摇而本才,一本才作性
又无謂也,動摇本才以致求者又非道德之謂也
小言,言不入道故曰小言
人毒,以其多患故曰人毒
莫覺莫悟何相孰也,彼不敢告汝汝又不自覺何期相孰哉王云小言爲毒曽無告語也孰誰也謂誰相親愛者旣无告語此不相親愛之至也
而知,音智
食而,一本作飽食而
敖遊,本又作遨五刀反下同
汎若,芳劒反
緩也,司馬云緩名也
呻,音申謂吟詠學問之聲也崔云呻誦也本或作呻吟
裘氏,地名崔云裘儒服也
之地,崔本作之地蛇云地蛇者山田荼種也
祇,音支郭李云適也言適三年而成也司馬云巨移反謂神祇祐之也
河潤九里,河從乾位來乾陽數九也
使其弟墨,謂使緩弟翟成墨也
闔胡甞視其良,闔語助也胡何也良者良人􁒭緩也言何不試視緩墓上巳化爲秋栢之實良或作埌音浪冢也
而見,賢遍反
令墨,力呈反
相捽,才骨反言穿井之人爲已有造泉之功而捽飲者不知泉之天然也喻緩不知翟天然之墨而忿之捽一音子晦反
不知,音智注同
學父,本或作久
仍自,而證反本又作認同
道易,以豉反
知雖,音智
應其,如字當也
朱泙,李音平郭敷音反徐敷耕反
漫,末旦反又末干反司馬云朱泙漫支離益皆人姓名
屠,音徒
單,音丹盡也
千金之家,如字本亦作賈又作價皆音嫁
三,絶句崔云用千金者三也一本作三年則上句至家絶
技成,其綺反
愼於兵,愼或作順
恬,徒謙反
惔,徒暫反本亦作淡
之知,音智注及下爲知同
不離,力智反
苞苴,子餘反司馬云苞苴有苞裹也
竿,音干
牘,音獨司馬云謂竹簡爲書以相問遺脩意氣也
以遺,唯季反下同
敝精神,郭婢世反一音必世反
道物,音導注同
甘冥,如字本亦作瞑又音眠
發泄,息列反徐以世反
泊然,歩各反
悲哉乎,一本作悲哉悲哉
爲,于僞反
宋王,司馬云偃王也
使秦,所吏反
數,所主反
乗,繩證反下同
王說,音恱
阨,於懈反
窘,與隕反又巨韻反
槁,苦老反又袪矯反本亦作矯居表反
項,李云槁項羸痩貌司馬云項槁立也
黃馘,古獲反徐況璧反爾雅云獲也司馬云謂面黃熟也
秦王,司馬云惠王也
痤,徂禾反
䑛,字又作􁒮食紙反
痔,治紀反
愈下,本亦作俞同
瘳,敕由反
汲,魚及反又五臘反危也
令飾,力呈反下同
以視,音示下同
能復,扶又反
女與,音餘又如字下順與同
之見,賢遍反
離實,力智反
施於,始豉反下注同
而識,如字又申志反
商賈,音古
鋸,音據
戉,音越
捶,之蘂反
桎,之實反
梏,古毒反
宵人,王云非明正之徒謂之宵夜之人也
訙之,本又作訊音信問也
愿,音願廣雅云謹慤也
有長,丁丈反
若不肖,外如長者内不似也
有順,王作愼
懁,音環又許㳂反徐音絹三蒼云急腹也王云研辨也外愼研辨常務質訥
縵,武半反又武諫反李云内實堅外如縵也
釬,胡旦反又音干急也一云情貌相反
卒然,寸忽反
其知,音智
其側,側不正也一云謂醉者喜傾側冠也王云側謂凡爲不正也側或作則
易觀,以豉反
搜之,所求反
正考父,音甫宋湣公之玄孫弗父何之曽孫
而傴,紆矩反
而僂,力矩反
三命,公士一命大夫再命卿三命
而夫,郭云凡夫也
吕鉅,矯貌
孰恊唐許,協同也唐唐堯許許由皆崇讓者也言考父與而夫誰同於唐許也
睫,音接
探射,食亦反
自好,呼報反注同
吡,匹爾反又芳爾反郭云訾也
訾也,子爾反
皆思奉之矣,本或作皆畢事也
美髯,人鹽反
未曽,才能反
偃佒,於丈反本亦作央同偃佒守分歸一也
杖物,直亮反
知慧,音智
乃厚其身耳,元嘉本厚作後一本作乃後恒無怨也
傀,郭徐呼懷反字林公回反云偉也
恬解,音蟹
於知,音智
者肖,音消郭云釋散也
十乗,繩證反下同
驕稺,直吏反又池夷反李云自驕而稺莊子也
緯蕭,如字緯織也蕭荻蒿也織蕭以爲畚而賣之本或作葦音同
鍜之,丁亂反謂槌破之
九重,直龍反
驪龍,力馳反驪龍黒龍也
頷下,戸感反
􁒟,子兮反
粉夫,音符
若挾,戸牒反
僉曰,七濳反
其使,所吏反
衣以,於旣反
食以,音嗣
芻叔,初俱反芻草也叔大豆也
大廟,音太
髑,音獨
髏,音樓
矉,毗人反子六反
珠璣,音祈又音機一音其旣反
齎,音資本或作濟子詣反
鳶,以全反
螻,音樓
蟻,魚綺反
