而詫	敕駕反又呼駕反郭都駕反司馬云吿也李本作託云屬也
子扁慶子	音篇又符殄反李云扁姓慶子字也
臨難	乃旦反
賔於	必刃反
惡遇	音烏下同
芒然	武剛反
彷徨	元嘉木作房皇音同
長而	丁丈反注同
飾知	音智
明汙	音烏
若揭	其列反又其謁反
九竅	苦弔反
跛	彼我反
蹇	紀輦反又紀偃反徐其偃反
而比	如字又毗志反
說之	音恱
爲具	于僞反
奏九韶	元嘉本作奏韶武
以樂	音洛下同
食之	音嗣
委	於危反
蛇	如字李云大鳥吞蛇司馬云委蛇泥鰌
𣢾啓	李云欵空也啓開也如空之開所見小也
鼷	音兮
鷃	字又作鴳音晏
