source,commentary
成公,名黒肱定王十七年即位
第八范甯集解元年夏之,戸雅反
無復,扶又反
甲鎧,開代反
夫甲,音符
貿戎,音茂左氏作茅戎
爲尊,于僞反
孰敗之,必邁反又如字
行父秃,他木反
郤克眇,亡小反
良夫跛,戒可反
公子手僂,於矩反一音力主反
御秃,音訝五嫁反迎也下皆同
姪子,大節反又丈乙反
頃公,音傾
不說,音恱
胥閭,思徐反下力居反
不解,古買反又音蟹
而横,華孟反又如字
脫此,徒活反又他活反
二年新築,音竹
僑如,本又作喬其憍反
公子手,左氏作首
于鞌,音安
欲令,力呈反
雍門,於用反齊城門
之茨,在私反門蓋
夫甚,音符
敗衞,必邁反
敖郤,五報反
謂笑其蹤跛,布可反案杜預注左傳云郤克跂此傳言郤克眇范注當依傳而作跛恐非
之甗,魚輦反又音言又音彦玉甑也
爲質,音致下同
侵易,以豉反下伐易同
取汶,音問
郷之,本又作曏亦作向同許亮反下文同
會與盟同月,絶句
不同月,絶句
則地會地盟,絶句
三年禰宫,乃禮反父廟也
所馮,皮冰反
去疾,起吕反
咎如,音羔
不復,扶又反
四年來朝,直遥反
城鄆,音運
五年壅遏,於勇反下於葛反
伯尊,左氏作伯宗
不辟,音避
將在,子匠反
君爲此,于僞反
素縞,古老反
無績,本或作續
攘善,如羊反盜竊也
蟲牢,直忠反下力刀反
六年取鄟,音專又市轉反國名
來朝,直遥反
伯費,音祕
七年鼷鼠,音兮
郊吉否,方九反
斛角,其樛反一音求角貌本或作筋非
禦患,魚吕反
球然,音求
所能,如字亦作耐
復食,扶又反下同
緇衣,側其反
纁裳,許云反
蓋爲,于僞反
伐郯,音談
來朝,直遥反
八年韓穿,音川
爲之,于僞反
召伯,上照反
曰見,賢徧反注更見同
一稱,尺證反
以上,時掌反
士燮,素協反
來媵,以證反又繩證反
娶嫡,丁歷反
姪娣,大結反下音弟
共公,音恭下同
九年刺巳,七賜反
内稱,尺證反又如字注同
爲尊,于僞反下及此傳注同
滅項,乎講反
頃,音傾
莒潰,戸内反
之行,下孟反
惡之,烏路反
十年強也,其丈反
侯獳,乃侯反
十一年郤犫,尺由反公羊作郤州
十二年常處,昌慮反
一見,賢徧反注同
今復,扶又反
瑣澤,素果反
敗狄,必邁反下同
十三年郤錡,魚綺反
過京師,音戈下同
出竟,音境
朝聘,直遥反下皆同
伯廬,力呉反又力魚反
十四年時迎,魚敬反傳同本或作逆
刺不,七賜反
之挈,苦結反
侯臧,子郎反
十五年有弑,音試
惡晉,烏路反
斷在,丁亂反
宋共,音恭注及下文同
爲賢,于僞反
無咎,其九反
子鰌,音秋
于葉,始渉反
許復,扶又反
見也,賢徧反
十六年雨木,如字或于付反非也
木介,音界
甲胄,直又反
雨著,直畧反
欒黶,於斬反
鄢陵,音偃又於連反
苕丘,音條
叔孫婼,丑畧反
復不,扶又反下同
無以見,賢徧反下所以見公同
孫紇,恨發反
刺公子,七賜反傳同爾雅云殺也
戍衞,式喻反
十七年單子,音善
于柯,音歌
謀復,扶又反
而強,其丈反
荀罃,烏耕反
貍蜃,上力之反下時軫反
踰竟,音境
貜,俱縛反
且,子餘反
見殺,音試又如字
十八年弑其君,音試下以弑同
復入,扶又反注同
士匄,本又作丏音蓋
來朝,直遥反下同
鹿囿,音又苑也
藪澤,素口反
以齊,如字又側皆反
士魴,音房
崔杼,直吕反
虚朾,丘魚反下丑丁反
