source,commentary
越疆,居良反本或作竟
之稱,尺證反注同
來朝,直遥反
所絀,本又作黜勑律反
城濮,音卜
二十八年何處,昌慮反
戰衞,絶句
師敗,必邁反
瑣卒,素果反
築微,左氏作麋
藪澤,素后反
告糴,音狄
之畜,勑六反下同
爲内,于僞反下文爲内同
古者稅,始銳反
什一,十而稅一
不艾,魚廢反
二十九年延廏,九又反
六種,之勇反下皆同
功築罕,呼旦反
殺禮,所界反
有蜚,扶味反
淫佚,音逸
之行,下孟反
一亡,如字又音無
三十年救鄣,音章
降鄣,戸江反下同
猶下,遐嫁反又如字
魯濟,子禮反
無從,才用反
内閒,閒厠之閒
燕,音烟注及後同
之分,扶問反又如字本或作介音界注同
大保,音泰
召康,上照反
爲之,如字
三十一年戎捷,在接反戎菽也捷獲也
外攘,如羊反
親倚,於綺反下文及注同
罷民,音皮下同
則懟,直類反怨也
爲燕,于僞反
辟地,婢亦反注同
惡内,烏路反
行異,下孟反
三十二年能從,才用反或如字注同
巳見,賢徧反
去日,起吕反
絶期,音朞
叔肸,許乞反
以齊,側皆反本亦作齋注同齋絜也
子般,音班
大子,音泰
書弑,音試
所見,賢徧反
