source,commentary
禹貢第一卷之三夏書,凡九篇五篇亡一云夏書唯四篇
別,彼列反
九州,周公職録云黃帝受命風后受圗割地布九州鄹子云中國爲赤縣赤縣之内有九州春秋說題辭云州之言殊也
圻,其依反
濬,思俊反
刊,苦安反
任,而鴆反
貢,字或作贛
之王,于況反
敷,芳無反馬云分也
汎,孚劒反
隨行,下孟反
奠,田遍反
瀆,音獨下同
冀,居器反
州,九州名義見爾雅音
載,如字載載於書也馬同鄭韋昭云載事也
壺,音胡馬云壺口山名
治,如字
岐,其冝反
雍,於用反後州名同
岳,字又作嶽太岳山名
陽,山南曰陽水北亦曰陽
覃,徒南反
厎,之履反
衡,如字橫也馬云水名
漳,音章
近河,附近之近
壤,汝丈反馬云天性和美也
塊,苦對反
上,如字賦第一
錯,倉各反馬云地有上下相錯通率第一
以供,音恭
中,丁仲反又如字
中,馬云土地有髙下
肥,符非反
瘠,在亦反
旣從,才容反
㠀,當老反馬云㠀夷北夷國
夾,音協注同帶也
碣,其列反韋昭其逝反
逆上,時掌反
篚,方尾反
濟,子禮反下同
兖,恱轉反
九河,徒駭一太史二馬頰三覆釜四胡蘇五簡六絜七鈎盤八鬲津九岀爾雅
灉,徐音邕王於用反
沮,七餘反
蠶,在南反
墳,扶粉反後同韋昭音勃憤反起也馬云有膏肥也
繇,音遥馬云抽也
十有三載,馬鄭本載作年
漆,音七
盛,音成
漯,天荅反篇韻作他合反
岱,音代泰山也
嵎,音隅
濰,音惟本亦作惟又作維
淄,側其反
濵,必人反
斥,徐音尺說文云東方謂之斥西方謂之鹵鄭云斥謂地鹹鹵
涯,魚佳反
鹽,餘占反
絺,勑其反
種,章勇反
畎,工犬反徐本作畎谷
枲,思似反
鈆,寅專反字從㕣㕣音以選反
怪,如字
石,怪石碔砆之屬
萊,音來
牧,牧養之牧徐音目一音茂注同
檿,烏簟反山桑也
汶,音問
沂,魚依反水名
藝,魚世反
豬,張魚反馬云水所停止深者曰豬劉東胡反
埴,市力反鄭作戠徐鄭王皆讀曰熾韋昭音試
漸,如字本又作蔪字林才冉反草之相包裹也
包,必茅反字或作苞非叢生也馬云相包裹也
黏,女占反
進長,丁丈反
叢,才公反
燾,徒報反覆也
苴,子餘反包裹也
夏,行雅反
翟,徒歷反
嶧,音亦一音夕
泗,音四水名
淮夷,鄭云淮水之夷民也馬云淮夷二水名孔傳云淮夷之水本亦有作淮夷二水也
蠙,蒲邊反徐扶堅反字又作比韋昭薄迷反蚌也
曁,其器反
見石,上賢遍反
纎,息亷反
縞,古老反徐古到反
繒,似陵反
達于河,如字說文作菏工可反云水出山陽湖陵南
彭蠡,下音禮張勃吳録云今名洞庭湖案今在九江郡界
三江,韋昭云謂吳松江錢唐江浦陽江也吳地記云松江東北行七十里得三江口東北入海爲婁江東南入海爲東江并松江爲三江
震澤,吳都太湖
底,之履反致也史記音致
大湖,音太胡
篠,西了反
簜,徒黨反或作他莽反
夭,於嬌反馬云長也
喬,其驕反徐音驕
少,詩照反
長,丁丈反
瑶,音遥
琨,音昆美石也馬本作瑻韋昭音貫
犀,細兮反
旄,音毛
楩,音緶又婢善反
卉,徐許貴反
橘,均必反
柚,由究反
裹,音果
㳂,恱專反鄭本作松松當爲㳂馬本作均云均平
朝,直遥反
九江,㝷陽地記云一曰烏白江二曰蚌江三曰烏江四曰嘉靡江五曰畎江六曰源江七曰廩江八曰提江九曰箘江張須无縁江圗云一曰三里江二曰五州江三曰嘉靡江四曰烏土江五曰白蚌江六曰白烏江七曰箘江八曰沙提江九曰廩江參差隨水長短或百里或五十里始于鄂陵終于江口㑹于桑落洲太康地記曰九江劉歆以爲湖漢九水入彭蠡澤也
沱,徒何反
潛,捷廉反馬云沱湖也其中泉出而不流者謂之潛
雲,徐本作云
夢,亡弄反一音武仲反徐莫公反
治,直吏反
杶,勑倫反徐勑荀反木名又作櫄
榦,本又作幹故旦反
栝,古活反馬云白栝也
柘,章夜反
礪,力世反
砥,音脂徐之履反韋昭音旨
砮,音奴韋昭乃固反
磨,末佐反
鏃,子木反一音七木反
箘,求隕反韋昭一名聆風
簵,音路
楛,音户馬云木名可以爲箭毛詩草木䟽云葉如荆而赤莖似蓍
近澤,附近之近
匭,音軌
菁茅,上子丁反徐音精馬同鄭云茅有毛刺曰菁茅
匣,胡甲反又音甲
菹,切韻側魚反
縮,所六反
纁,許云反
璣,其依反又音機馬同說文云珠不圜也字書云小珠也玉篇渠依居沂二反
組,音祖馬云組文也
納,馬云入也
江沱潛漢,四水名本或作潛于漢非
逾,羊朱反
瀍,直然反
澗,故晏反
渾,音魂又胡囷胡昆二反
沔,亡淺反又亡忍反下同陸渾沔池二縣屬河南郡
滎,戸扃反滎澤也
波,如字馬本作播滎播澤名
遏,烏葛反
導,音道下同
菏,徐音柯又士可反注同韋胡阿反
被,皮寄反徐扶義反注同
