source,commentary
衞靈公第十五凡四十九章問陣,直刃反注同本今作陳
行列,户剛反
俎豆,側吕反
絶糧,音粮鄭本作粻音張下糧也
從者,才用反
之難,乃旦反
愠,紆問反下同
見,賢遍反下同
斯濫,力暫反何云溢也鄭云竊也
者與,音餘下非與也與同
以貫,古亂反
鮮,仙善反
而治,直吏反
夫何,音符
行篤,下孟反下行不篤敬亦同
蠻貊,亡白反說文作貌云北方人也
參於,所金反注同
在輿,音餘
倚,於綺反注同
夫然,音扶
枙,音厄本今作軛
紳,音申
大帶,如字
史鰌,音秋
行直,下孟反
卷而,卷免反注同
不與,音預
不忤,五故反
知者,音智
易知,以豉反
之輅,音路本亦作路
越席,户括反
黈,吐口反
纊,音曠
盡善,津忍反下同
逺佞,上于萬反下乃定反
好德如好色,並呼報反下章好行音同
者與,音餘
逺怨,于萬反注同
怨咎,其九反
禍難,乃旦反
行小慧,音惠小才知魯讀慧爲惠今從古
才知,音智
爲質,一本作君子義以爲質鄭本畧同
孫以,音遜
不爭,爭訟之爭
與比,毗志反
誰譽,音餘下及注同
借人,子夜反注同
今亡矣夫,音符
衆惡之,烏路反注同
衆好之,呼報反
比周,毗志反
餒在,奴罪反餓也
知及,音智注及下同
涖之,音利又音類
子曰父在觀其志父没觀其行,集解無此章鄭本有云古皆無此章
吾見蹈,徒報反
不復,扶又反
有種,章勇反
爲謀,于僞反
文艷,以驗反
冕見,賢遍反
在處,昌慮反
道與,音餘
相師,息亮反注同馬云相導也鄭云相扶也
