source,commentary
毛炮,薄交反
爓,似鹽反
去其,起吕反
肥腯,徒忍反
鼓人又別,彼列反
鬼享,許丈反劉虛讓反牛人職同
鼖,扶云反
鼛,音羔長丈二尺
編鍾,必仙反
錞,音淳錞錞干也
碓頭,音對本又作椎直追反
鐲,直角反鉦也
鉦,音征
鐃,女交反
有秉,兵政反本又作柄下同
且郤,起畧反
鐸,待洛反大鈴
大鈴,音零
帗,音拂劉音弗
鼜,干歷反
發昫,本又作胊亦作煦休具反劉休武反或況冢反
之眚,生領反
舞師旱暵,呼但反
爲䍿,音皇
牧人阜蕃,音煩
牲牷,音全
􁇠,於糾反司農音幽
尨,亡江反
表貉,莫霸反
爲甈,丘例反
副,普逼反
辜,音孤
禳,如羊反
憚其,待旦反
牛人職人,戚音特或餘式反劉之式反注樴同
以繹,音亦徐音夕
之杙,餘式反劉餘則反
積膳,子賜反注同
飧,音孫
饗食,音嗣下文同
執幂,民狄反
折俎,之設反
犒牛,苦報反注同
遣奠,弃戰反
牽徬,薄浪反注同
之互,劉音護徐音㸦
盆簝,音老劉魯討反受肉籠也
以盛,音成
縣肉,音玄
充人散祭,素但反注同
近之,附近之近
地官下載師廛里,直連反
以場,直良反
圃,布古反又音布
賈田,音古注同
畺地,居良反
吏爲,于僞反
果蓏,力果反
州長,丁丈反後皆同
亦監,古銜反
盡如,津忍反
者與,音餘
林麓,音鹿
涂巷,音徒
去一,起吕反下同
如比,徐方二反
率之,音律又音類
桼林,本又作漆音七劉本作桼字之變也音同
畺埸,音亦
儳布,劉音䜛徐才鑒反
皆說,音恱
欲令,力呈反
以衣,於旣反下同
有閒,音閑
閭師以飭,音勑
以畜,許又反下同
不衰,七回反下同
縣師大比,毗志反後放此
之卒,子忽反
量其,音良
遺人,唯季反劉音遂
施惠,式豉反後施惠皆同
廩人,良甚反
易以,以豉反
作㨷,音艱又音謹
有庌,劉音雅
均人地政,音征出注下同
上下,時掌反
四鬴,房甫反
㽦㽦,音均又舒均反又音旬聶氏常純反
師氏以􁁷,音美
行本,下孟反下及注同
以知,音智
之稱,尺證反
覆燾,徒報反
說命,音恱
敬孫,音遜
夫孝,音扶
王朝,直摇反注及下皆同
國中,鄭丁仲反注中中禮者同杜音得
則從,才用反下同
爲與,音預下同
聽治,直吏反下同
且蹕,音畢
保氏五馭,音御
德行,下孟反下文及注同
剡,羊冉反
注,之樹反下同
襄尺,音讓本作讓諸音非
差分,初佳反又初冝反下同
重差,直龍反
夕桀,音的沈祥易反此二字非鄭注
嚴恪,如字又音儼
濟濟,子禮反
蹌蹌,七良反
闞,呼檻反
仰仰,本又作卬五剛反
濟濟皇皇,上子禮反又音齊下于況反又音往
纍纍顚顚,上律悲反下音田又如字
曁曁,其器反
詻詻,五格反
匪匪,芳非反
王闈,音韋宫中巷門
司諫而強,其丈反注同
則易,以豉反
以行,如字下注同
司救,如字劉音拘
之衺,似嗟反注作邪同
酗,況付反
醟,音詠
好訟,呼報反
去其,起吕反
著之,直畧反一音丁畧反
近罪,附近之近
調人之難,乃旦反注及下同
共和,並如字
之畜,許又反
辟諸,音避下同
從兄,才用反
眂父,音視
盥而,音管
謂重,直用反
後復,扶又反下不復聽同
媒氏以上,時掌反
竒數,於綺反本或作倚音同
以別,彼列下同
反冠子,古喚反
純帛,側其反依字從系才
中冓,古候反
而棧,士板反劉才産反或士諫反
有茨,疾私反
司市之治,直吏反下及大治小治同
豆區,烏侯反
行列,户剛反下行列同
者易,以豉反下之易同
售,受又反
商賈,音古注曰賈下商賈賈師皆同
成賈,音嫁注下不音者皆同聶氏及沈云成賈定賈奠物賈其賈平賈大賈小賈賈賤恒賈而故賈凡十二音嫁餘音古
徴儥,劉音育聶氏音笛字林他竺反
質劑,子隨反
月平,皮命反下月平同
賈民,劉音嫁聶沈音古注賈民同
禁虣,薄報反
而去,起吕反
扑也,普卜反下文同
斂賒,傷虵反
同共,如字
則爲,于僞反下爲民同
賒貰,音世貸也劉傷夜反一時夜反
􁍮,音側本又作昃
販夫,方万反
其便,婢面反
奠賈,音定又田見反
上旌,時掌反注同
殳也,音殊
防誑,九況反
物行,遐孟反又如字聶胡剛反
苦者,音古
以郤,起略反
好奢,呼報反
在賈,音古注同
得粥,音育下同
中度,丁仲反下同
廣夾,音洽
數十二,色主反
爲祔,劉方符反沈音附
一幕,劉音莫
一帟,音亦
遊觀,古喚反下同或音官
爲說,如字解說也聶如銳反
質人用長,如字
其淳,音準
幅廣,光曠反
匹長,直亮反
當中,丁仲反
淳尸,劉章純反下同
國基,如字本或作朞同
之好,呼報反
廛人絘布,音次本或作次
緫布,劉依杜音讒鄭音惣
爲儳,音讒
租,音揔
官爲,于僞反下同
以畜,勑六反
皆說,音說知吕反本或作貯又作褚皆同
藏於,如字劉本作葬音同
瘦,本又作膄所又反
臞,其俱反又作􁁺音稍
以紓,音舒劉常汝反
胥師表縣,音玄
飾行,下孟反
慝者,他得反惡也
巧飾,苦敎反又如字
令欺,力呈反下文同
小治,直吏反下之治同
而斷,丁亂反
賈師,音古下注賈師同
而奠,音定
別也,彼列反
重困,直用反
而更,音庚
爲官,于僞反
司虣鬪囂,五羔反讙也又許驕反
讙,音歡
則搏,音博下同
司稽所操,七曹反
以徇,辭俊反
肆長相近,附近之近下及注同
相遠,于万反注同
或數,色主反
故別,彼列反
令相,力呈反
賈人,音古
泉府楬而,音竭
其抵,音帝本也又都禮反
爲癉,音旦又丁左反
揃,音牋又倉亷反
著其,直畧反
別治,直吏反
之貸,音待注不出者同
別其,彼列反
貸民,吐代反
本賈,音嫁一音古
所賈,音古
假令,力呈反
償,時亮反
則會,古外反後放此
司門管鍵,其展反又其偃反司農音蹇居免反
籥,羊畧反
正其,音征
􁀎,音計本又作繫
監門,古銜反注同
造焉,七到反注同
司關猾商,音滑
其治,直吏反
辟稅,音避一音芳益反
節傳,張戀反注下皆同
凶札,側八反又音截
札瘥,才何反病也
猶苛,呼多反又音何
令姧,力呈反
皆說,音恱
敂關,音叩苦狗反
則爲,于僞反
謂朝,直遥反
掌節則別,彼列反下相別同
使者,所吏反下之使注使節使者同
英蕩,如字又吐黨反
爲帑,吐黨反
盛此,音成
郵行,音尤字從垂作卸誤
遂人爲鄼,作管反後同
制分,扶問反又如字下分制同
比閭,毗志反下同
追胥,如字劉張類反
致甿,亡耕反
興耡,音助李又音鉏
以疆,其良反
懵懵,本又作懜莫崩反又音蒙李武冰反
猶會,古外反下一字同
爲率,音律又音類
錢,音翦劉音踐
鎛,音博
復予,扶又反
令相,力呈反
百畮,音畆
萊,音來
有數,色主反
竒受,居冝反
有畛,之忍反劉音眞
有洫,況域反
有澮,古外反
乗車,繩證反
遂從,子容反下同
去山,起吕反
盡主,津忍反
施舎,式氏反下施舎皆同
政役,音征注同
而屬,音燭
六綍,音弗
及竁,劉昌絹反穿也本作窆戚彼驗反與注相應
與說,始鋭反
千人與,音餘
啓朝,直遥反
之封,彼驗反或如宇
之塴,補鄧反
政治,直吏反下治訟皆同
遂師耕耨,奴豆反
斂艾,音刈
庇其,又作庀匹爾反具也劉副美反一音芳米反
脩行,下孟反
抱磨,劉音歷
丘籠,力董反
及蜃,市軫反
以爲,于僞反
神坐,才臥反
復土,音服或音福
乃說,始銳反或吐活反
更復,扶又反
龍輴,勑倫反
作槫,市專反李徒官反
作輇,市專反
適歷,音的又音釋
比敘,匹爾反出注
行列,戸剛反
遂大夫徑術,音遂
善相,息亮反
道民,音導
大比,毗志反下徴比及注同
屬其,音燭聚也注同
地治,直吏反
縣正趣其,如字李倉苟反本又作趨音促
鄙師禜也,音詠
數其,色主反下同
其媺,音美
里宰治處,直吏反
今街,音佳
彈,如字一音丹
因放,沈方往反
旅師閒粟,音閑注同
而用,而音若出注
興積,子賜反注同
之治,直吏反注同
復之,音福
期不,音基
以上,時掌反
稍人丘乗,繩證反注丘乗曰乗丘甸并爲甸甸讀禹敶之敶皆同音
輂輦,居録反
卒伍,子忽反
所調,徒弔反下同
皆徧,音遍
遞焉,徒禮反又音弟本又作適音釋
委人賦斂,九豔反
