source,commentary
秋官司宼第五侀也,音刑
郷士,音香注同
訝士,五嫁反迎也
朝士,直遥反卷内同
司刺,七賜反殺也
三訊,音信
司約,劉於妙反一音如字注同
約束,劉詩樹反一音如字
約辭,於妙反
歃血,所洽反
賈四人,音嫁又音古
司圜,于權反
罷民,音皮下同
閩隷,亡巾反又音文
貉隷,孟百反
蜡氏,讀爲狙清預反注同
蠅蟲,以繩反
掩骼,更白反
貍,亡皆反本又作埋
骴,本又作胔似賜反
雍氏,於勇反劉如字注同
隄防,丁兮反
萍氏,音平又蒲丁反
爲蛢,蒲丁反爾雅云蛂蟥蛢郭注云甲蟲大如虎豆緑色
萍號,蒲丁反
萍蓱,上音平本亦作苹同下蒲丁反
者蘋,音頻
寤覺,音敎下同
司烜,音毁注燬同火也
爲垣,劉音袁
條狼氏,音滌徒歷反除也注同
冥氏,如字又莫歷反
縻取,亡皮反
庶氏,依注音藥煮之煮又章預反
毒蠱,音古
搏蟄,音博劉音付下直立反
翨氏,音翅失豉反又吉豉反鳥翮
柞氏,側百反注唶屋笮皆同
挍剥,古飽反
薙氏,字或作雉同他計反徐庭計反
去草,起吕反
芟夷,所銜反
蕰崇,紆粉反徐憂羣反
鬀小,他計反
硩,音摘他歷反徐丈列反沈勑徹反李又思亦反
蔟氏,倉獨反
蟲蠹,都路反
赤􁍶氏,赤如字一音采昔反􁍶徐音跋畔末反劉房末反
捇拔,上采昔反徐呼陌反下畔末反劉房末反或蒲八反
蟲豸,直氏反
蟈氏,古獲反注同劉音或又音國
爲蜮,劉音或一音古獲反
蝦,音遐
蟇,音麻
螻,音樓
鼃,户媧反又斛佳反
黽,莫幸反
食蛙,户蝸反劉斛佳反沈和佳反
蜮乃,音或
短狐與,音餘下官與同
壺涿氏,陟角反又音濁
相近,附近之近
主射,食亦反
絜清,才性反又如字
囂,五高元一音許驕反下同
讙,音歡
如箸,直慮反
爲繣,户卦反又胡麥反
伊耆,巨之反
爲蜡,仕詐反
國使,所吏反
環人,戸關反劉戸串反
才知,音智
狄鞮,丁兮反
曰譯,音亦
跛者,波可反
之好,呼報反
國治,直吏反
大司寇詰四,起吉反
旄荒,莫報反
度作,待洛反
爲民,于僞反
篡,初患反
殺,音試本亦作弑
糾守,劉音狩注同
將命,子匠反
上愿,音願劉又音原
糾暴,依注暴作恭
慤愼,苦角反
罷民,音皮注下皆同
不愍,音敏劉亡覲反尚書作暋音敏又作昬皆訓強
寘之,之豉反置也又音示
爲邪,似嗟反下同
著其,丁略反一音直略反
兩造,七報反至也注同
百个,古賀反
與,音餘
兩劑,子隨反
文石,如字劉音問
之,音樹
桎,音質
梏,古毒反
未著,直略反下附猶著皆同
肺石,芳廢反肺石赤石也
惸獨,其營反
其長,丁丈反下及注同
上書,時掌反
乃縣,音玄注及下同
挾日,子協反
盟約,於妙反
之藏,才浪反
司會,古外反下司㑹皆同
之治,直吏反下同
斷之,丁亂反下注皆同
弊之,必世反斷也後訓斷者皆同
爲憋,劉芳滅反又音卑設反
事比,必利反
納亨,普庚反劉普孟反注同下納亨放此
䟆,本亦作蹕音畢止行也
小司宼之難,乃旦反
冢適,丁歷反
芻蕘,而招反
南郷,許亮反
州長,丁丈反
不見,賢遍反
擯以,必刃反注同
敘更,音庚
訊之,音信
盡心,津忍反
讀鞫,九六反
爲治,于僞反
元咺,況阮反
鍼,其亷反
嚴子,劉音莊左傳作莊案漢書明帝名莊改爲嚴
則報,女板反
則喘,昌兖反
聽聆,音零
眸子,莫侯反劉無不反
眊然,莫報反本又作旄同
不偷,他侯反徐吐豆反
德行,下孟反
夫謀,音扶
而鮮,息淺反
叔向,許亮反
謂憔,昨遥反
悴,秦醉反
之後與,音餘
三刺,七賜反
斷庶,丁亂反後皆同
劓,魚器反
刖,音月又五刮反
大比,毗志反注同
以上,時掌反下注同
數民,所主反
鑊水,戸郭反
而辟,槪亦反劉符益反一音匹亦反沈音避注同後而辟皆放此
王道,音導
宣徧,音遍
入會,古外反後要㑹之字皆放此
士師之灋,音法
以左右,音佐下音又注左右助也同
徇之,似俊反
縣于,音玄
其觕,劉音粗沈才古反
曰誥,古報反
後射,食亦反
閭比,毗志反下同
比追,如字劉張類反
胥之,如字劉思敘反注偦同
司搏,音博劉音付
事比,必利反
邦汋,上灼反注同
斟汋,之林反下音灼
刺探,七亦反又七賜反
邦諜,音牒
反間,間厠之間
干冒,音墨
撟邦,音矯
寶藏,才浪反
作傰,劉音崩徐音朋又補鄧反
荒辯,依注辯音貶
風別之別,皆彼列反下傅別及注同
數條,所主反
紓民,音舒本亦作舒
傅別,音附注同
約,於妙反又如字
亳社,步各反
道王,音導下三公道盜賊道同
洎,其器反或音冀
凡刉,音機劉音奇
珥,而志反注衈同
反將,子匠反
千行,戶剛反
陳也,直刃反
計簿,步古反
鄉士今劾,戶代反
反覆,芳復反方士職注同
汁日,音協合也本亦作協下同
不中,丁仲反
所措,七故反
夾道,古洽反劉古協反
則為,于偽反遂士縣士訝士職同
方士畺地,居良反
而上,時掌反注下並同
鄐田,許六反劉勑六反或音朂
相近,附近之近
上治,直吏反注同下有治並同
訝士造焉,七報反
謂讞,魚竭反
則道,音導
朝士州長,丁丈反注同
罷民,音皮司圜職同
外刺,七賜反下同
纆,亡北反
示于,之豉反又如字本或作寘
叢棘,才公反
兩觀,古亂反
閽人,音昬
繹於,音亦徐音夕
見於,賢遍反
内與,音餘下國服與同
呼趨,本又作趣同七須反劉音淸欲反
僔語,徐子損反劉才官反李一音纂
俘而,而孚
而搏,音博又音付
放失,音逸又如字
自卑,必二反
齓,初謹反又勑謹反劉測吝反沈創允反毁齒也
之治,直吏反下之治以治及司民職王治并注同
國期,居其反
乞鞫,九六反劉己目反
爲治,于僞反下爲治爲民同
爲別,彼列反下同
共賈,上如字下音古
畜積,勑六反下子賜反又如字
出者,尺遂反劉勑類反又如字
坐臧,才臥反
凡屬,如字或音燭注同
地傅,音付注同
町畔,徒頂反又他頂反
比屬,毗志反下及下文大比同
抵冒,丁禮反
上人,時掌反下文以上并注同
相辟,音避
爲窆,彼驗反
司民猶去,起吕反下同
更著,丁略反
三能,吐才反
近文昌,附近之近
司刑劓,魚器反李魚界反又疑婢反
刖,音月又五刮反李五骨反
黥也,其京反
窒之,本又作涅同乃結反徐丁吉反又丁結反
類與,音餘
斷足,丁管反
臏,頻忍反徐方忍反劉符人反
攘傷,如羊反
降畔,戸江反
撟虔,居兆反
司刺,七賜反下及注同
遺忘,音妄注同
不坐,才臥反下同
而軼,待結反
中人,丁仲反
若間,間厠之間
投射,食亦反
老,本又作旄同亡報反
憃愚,勑江反又貞巷反劉癡用反
癡騃,五駭反李又五亥反又吐在反
以上,時掌反
司約,於妙反後及注皆同
夔子,求龜反
之比,毗志反又必二反
者與,音餘
斐豹,音非徐方眉反劉方持反沈芳尾反
辟藏,才浪反注下皆同
爲之,于僞反
請隧,音遂
司盟子痤,才戈反
禮義,音儀
詛其,側慮反
與共,如字
惡之,烏路反
臧紇,恨發反劉胡没反沈胡謁反
使卒,子忽反
出豭,音加
行出,戸剛反
詛射,食亦反
以省,所景反
則爲,于僞反注同
職金楬而,音竭
璽之,音徙
守藏,劉音狩
以著,直畧反沈張慮反
揃其,音牋
表識,申志反又如字又音志
罰贖,常戍反下同一音蜀
金版,音板
鉼金,必領反
槍,七羊反
