成上	成公名黒肱宣公子諡法安民立政曰成
經五年傳五年原屏	歩丁反
能令	力呈反
舎我	音捨又音赦
弗聽	吐丁反
福女	音汝
從人	才用反
餫諸	音鄆
野饋	其媿反
以傳	中戀反驛也注及下同
驛也	音亦
辟重	匹亦反徐甫赤反本又作僻
曰辟	音避
捷之	在妾反
邪出	似嗟反
絳人	古巷反
朽壤	如丈反
君爲	于僞反
去盛	起吕反
饌也	仕戀反
乗縵	武旦反又莫半反
請見	賢遍反注皆同
爲質	音致下注同
鼓譟	素報反
復入	扶又反下同
向爲人	舒亮反
辭以子靈之難	乃旦反又一本無之難二字
以新誅子靈爲辭	一本無爲辭二字
月倒	丁老反
經六年取鄟	徐音專又市臠反
伯費	音祕
傳六年子游相	息亮反下寗相同
端諦	音帝
魯倚	於綺反
其難	乃旦反注同
言易	以鼓反
夏陽	戸雅反
說	音恱下文注同
陸渾	戸門反
別種	章勇反
于鍼	其廉反一音針
登陴	毗支反
復命	扶又反
郇瑕	音荀
解縣	音蟹
而近	附近之近下及注近寶皆同
盬	音古鹽也
猗氏	於冝反
君樂	音洛下謂樂同
將新	子匠反下注軍將同
大僕	音泰
惡易	以豉反下注同
覯	古豆反成也
疾疢	勑覲反本或作疹同
墊	丁念反
隘	於賣反
羸困	劣僞反
沈溺	乃歷反沈溺濕疾也
重膇	治僞反一音直媿反重膇足腫
足腫	章勇反一音常勇反
有汾	扶云反水名也
澮	古外反水名
垢穢	古口反
驕佚	音逸
公說	音恱
公子成	音城
禦諸	魚吕反
桑隧	音遂
軍帥	所類反下注同
子盍	戸臘反何不也
經七年鼷鼠	音兮
伐郯	音談
傳七年者也夫	音扶
昊天	戸老反
號天	戸刀反
相成	息亮反
如晉見	賢遍反
于汜	音凡
共仲	音恭
鄖公	本亦作貟音云邑名
軍藏	才浪反
此申吕所邑也	一本作所以邑也
以御	魚吕反
共王	音恭
子閻	音鹽
黒要	一遥反
子罷	音皮下同
遺二子	唯季反
讒慝	他得反
貪惏	力含反
請使	所吏反
壽夢	莫公反
說之	音恱
季札	側八反
一卒	子忽反注同
舎偏	音赦舊音捨
九乗	繩證反下注同
令吳	力呈反
戰陳	直覲反
寘其	之豉反
諸夏	戸雅反
惡孫	烏路反
反戚	七狄反
經八年來語	魚據反
通稱	尺證反
來媵	以證反又繩證反
適夫人	丁歷反
姪	大結反字林丈一反
娣	大計反
傳八年餞之	錢淺反送行飲酒也說文云送去食也字林子扇反毛詩箋云祖而舎軷飲酒於其側曰餞
不復	扶又反
