生民之什第二十四	自生民至卷阿八篇成王周公之正大雅
無惡	烏路反又如字注同
立朝	直遙反
緻	直致反本或作致
其行	下孟反
無疆	居良反下篇同
徒樂	音洛
百辟	音璧注同
媚于	眉備反注同
不解	佳賣反注同
攸墍	許器反息也
公劉	王云公號劉名也尚書傳云公爵劉名也王基云公劉字也后稷之曽孫
召康	本亦作邵上照反後皆同
涖	音利又音類徐力洎反
夏之	戶雅反下夏人同
幼少	詩照反
相成	息亮反
廼埸	音亦
廼裹	音果
餱	音侯食也字或作糇
糧	本亦作粮音良糇也
橐	池洛反
囊	乃即反小曰槖大曰囊說文云無底曰囊有底曰槖
思輯	音集又七立反
之難	乃旦反
積委	上子智反下於僞反
為夏	于僞反又如字
戚揚	七厯反斧也
鉞也	音越
之從	才用反又如字
盾也	字又作楯順允反又音允
句孑	音鈎
士卒	尊忽反下餘卒士卒皆同
曰為	于僞反下非為為公劉皆為同
永歎	他安反字或作嘆
宣徧	音遍
相此	息亮反下相此皆同
甗	夲又作巘魚輦反又音言又音魚偃反又音彥毛云小山別於大山也與爾雅異
復降	音服又扶又反注復下同
及瑶	音遥
鞞	必頂反
琫	必孔反
山別	彼列反
反復之	本亦作覆同芳福反
溥原	音普大也
廼覯	古豆反見也
之處	昌慮反下之處同
廬旅	力居反寄也
論難	魯困反下乃旦反
館客	一本作館舎
蹌蹌	七羊反
乃依	毛如字鄭於豈反箋云或扆字
乃造	七報反
用匏	歩交反
則殺	所戒反
搏豕	音博沈又音付
食之	音嗣
飲之	於鴆反
相其	息亮反注同
寒煖	況袁反又乃管反
浸潤	子鴆反
三單	音丹
度其	待洛反注及下同
爲羨	音踐乂音衍下同
其廣	古曠反
取厲	本又作礪
取鍛	本又作碫丁亂反鍛石也說文云碫厲石字林大喚反
材木	一本作材末
夾其	古洽反又古協反
皇㵎	古晏反
遡其	音素嚮也
過㵎	古禾反注同
遡郷	本又作嚮許亮反又與卷阿篇注同
校其	音敎
芮	本又作汭如銳反毛云水涯也鄭云内也
鞫	居六反毛究也鄭水外也
水涯	五佳反字亦作厓
曰澳	於六反又於報反字或作隩
泂酌	音迥逺也
行潦	音老行潦流潦也
挹彼	音揖又音邑
餴	甫云反餾也又作饙字書云一蒸米也
饎	尺志反酒食也字林充之反
餾	力又反又音留爾雅饙餾飪也孫炎云蒸之曰餴均之曰餾郭云餴熟爲餾
齊絜	側皆反本又作齋
繄物	於兮反
樂以	音洛
易以	羊豉反
說安	音恱
罍	音雷祭器也
滌也	徒歷反
漑	古愛反清也
淸	才性反又如字
卷阿	音權曲也篇内同大陵曰阿
票風	避遥反迴風也本亦作飄
被德	皮寄反
長養	張丈反下同
猥來	烏罪反
爲長	于僞反
樂易	音洛下樂王同易音以豉反後樂易皆放此
伴	音判徐音畔
奐	音喚徐音換毛伴奐廣大有文章也鄭伴奐自縱弛之意
自從	子用反本又作縱
施	本又作弛同書氏反
各任	音壬或如鴆反
而治	直吏反下爲治同
也與	音餘
共已	音恭本亦作恭
酋	在由反又子由反又在幽反終也
昄	徐符版反大也孫炎郭璞方滿反字林方但反又方旦反
茀	沈云毛音弗小也徐云鄭音廢福也一云毛方味反鄭芳沸反
有馮	符冰反注同本又作憑
饌几	士戀反又士轉反具也本亦作撰
賛道	徒報反本亦作導
放傚	方往反
顒顒	魚恭反温貌
卬卬	五剛反盛貌
令聞	音問本亦作問
令望	如字協韻音亡
切磋	七何反或作瑳
聲論	魯困反
德行	下孟反
翽翽	呼會反衆多也說文云羽聲也字林云飛聲也口外反
仁瑞	垂僞反
藹藹	於害反爾雅云臣盡力也說文作譪譪云臣盡力之美也
之朝	直遥反
亦傅	音附戾也
令不	力呈反下欲令同
梧桐	音吾
被温	皮寄反
不棲	音西
菶菶	布孔反又薄孔反又薄公反
萋萋	七西反菶菶萋萋梧桐盛也
喈喈	音皆鳳皇鳴也
行中	丁仲反下同
有乗	繩證反
不復	扶又反
民勞	如字從此至桑柔五篇是厲王變大雅
賦斂	力豔反
重數	音朔
繇役	本亦作徭音遥
姧宄	音軌本亦作軌
汔	許一反危也鄭幾也說文巨乞反
諸夏	戸雅反下同
幾也	音祈下同
民罷	音皮
詭隨	俱毁反
式遏	於葛反止也
慘不	七感反本亦作㦧曽也
揉逺	音柔本亦作柔
能邇	徐云毛如字鄭奴代反侞也
侞	檢字書未見所出廣雅云如若也均也義音相似而字則異舊音如庶反義亦難見鄭注尚書云能恣也與此不同
民逑	音求合也
惽	音昬說文作昬云怓也釋文惽亦不憭也
怓	女交反惽怓大亂也鄭云猶讙譊也說文云怓亂也
讙	音歡又許元反
譊	女交反本又作譁音花
謂好	呼報反
爭訟	爭鬪之爭
王休	許虯反美也
誘掖	音亦
作慝	吐得反惡也
以近	附近之近注同
小愒	起例反息也徐丘麗反
憂泄	以世反又息列反毛去也鄭出也發也
應之	應對之應
繾綣	上音遣下起阮反字或作卷繾綣反覆也
反覆	芳服反
欲令	力呈反
板	音版
卒	子恤反
僤	本又作癉當但反病也沈本作􁈏
出	如字徐尺遂反
話	戸快反善言也說文云會合善言也
于亶	丁旦反誠也
言行	下孟反
憲憲	許建反猶欣欣也
方蹶	俱衞反動也
泄泄	徐以世反猶沓沓也爾雅云憲憲泄泄制法則也說文作呭云多言也
爲之	于僞反
輯矣	音集又七入反和也
繹矣	音亦本亦作懌說也
說也	音恱下同
戒語	魚庶反
同僚	字又作寮力彫反官也
嚻嚻	五刀反
謷謷	五報反
善道	音導下牗道道民皆同
芻	初俱反
蕘	如謡反芻蕘薪采者也說文云蕘草薪也
或知	音智又如字
謔謔	虚虐反喜樂也
灌灌	古亂反猶欵欵也
蹻蹻	其略反驕貌
喜樂	音洛
言耄	莫報反
熇熇	徐許酷反沈又許各反熾盛也說文云火熱也
方懠	才細反疾怒也
夸毗	苦花反體柔也
不復	扶又反
弭謗	彌耳反止也
殿	都練反郭音坫說文作唸
屎	許伊反郭音香惟反殿屎呻吟也說文作吚
呻	音申
吟	如字本又作唫同
揆度	待洛反
賦斂	力豔反
以共	音恭本亦作供
惠施	式豉反
賙	音周
贍	市豔反
如壎	許元反
如篪	音池
如攜	下圭反
相和	如字又胡臥反
孔易	鄭音亦注易易也上字同又以豉反
多僻	匹亦反邪也注同
立辟	婢亦反法也注同
易也	以豉反下同
􁄛	本又作掣尺製反
東與西與	並音余
之行	下孟反
爲邪	似嗟反
价人	音界毛云善也說文同鄭作介云甲也
維藩	方元反屏也
大師	音泰注大師同
維垣	音袁
維翰	胡旦反幹也徐音寒
被甲	皮寄反
世適	丁歷反下同
䟽逺	于万反
於難	乃旦反
之渝	用朱反變也
昊天	胡老反
曰明	音越下同
遊羨	餘戰反溢也一音延善反本或作衍
