source,commentary
有司第十七,本或作有司徹鄭云大夫旣祭儐尸於堂之禮
有司徹,直列反字又作撤
以厭,一豔反
於祊,百庚反
大庿,音泰下大宰同
爲儐,于僞反下爲尸同
少儀,詩召反下之少年少同
汜埽,芳劒反下索到反
曰拚,方問反
爲聶,女輒反
燅,音尋劉徐鹽反温也注燖同
肵亦,音祈
不與,音預
扃,古熒反注同
鼏,亡狄反
去其,起吕反下拂去同
禮殺,所界反劉色例反下皆同
爲鉉,玄犬反
侑于,音又
道尸,音導
爲蹙,子六反
並併,步頂反後皆同
匕湆,去及反
豕脀,之承反
長左,丁丈反後皆同
麷,芳中反熬麥也
蕡,扶云反熬枲也
醓,他感反
麋臡,乃兮反又人兮反
枲也,思治反
辟鈃,音避下亦辟辟併辟主同
肫,音純
胳,音格又音各本亦作骼
臑,奴到反
脡,他頂反
復序,扶又反下不復復言同
折分,之設反下皆同
嚌,才計反
下尸,户嫁反下注下尸下之亦下下侑下主人下大夫下上大夫同
而摭,之石反
加膴,火吳反依注音􁇥況甫反劉呼孤反後同
刳魚,口吳反又口侯反
大臠,力轉反
㨎,如帨反劉而誰反
執挑,湯堯反劉湯姚反又他羔反一音由又食汝反
以挹,一入反
之歃,初洽反劉初輒反下扱同
或作挑,本又作抌劉忒羔反
飯操,七消反
以抒,食汝反
覆手,芳伏反下同
啐,七内反
羊燔,音煩
由便,婢面反
糗,去九反
與腶,丁亂反木又作段音同加薑桂以脯而鍛之曰腶脩
餌也,音二
擣肉,劉本作搗同丁老反
爲斷,丁亂反
之柶,音四
挩手,由銳反注紛帨音同
冝郷,許亮反
粉餈,在私反
則酏,以支反劉書支反
食,音寺下同
糝食,素感反
臐,許云反
膮,許堯反
有胾,側吏反
以辯,音遍注徧同後放此
儀度,大各反
作􁏆,劉音儀
不別,彼列反
親昵,女乙反
爲衆,于僞反下爲不爲鬼同
隆汚,音烏
延熹,許其反
不綏,許恚反本亦作隋同
七飯,扶晚反後皆同
乃盛,音成注及下同
無髀,步禮反又方爾反
三个,古賀反
爲揲,之石反劉音與摭同
也與,音余
酳尸,以刃反又士刃反
其綏,并注挼及隋皆許惠反後放此
弟婦,音娣
觳折,苦角反又戸角反
尸謖,所六反
乃𧃊,音俊
厞,扶味反
取敦,音對劉又都愛反下同
厭,一豔反
飫,於庶反
不令,力呈反
作茀,音弗
