source,commentary
士昬禮第二,鄭云士娶妻之禮以昬爲期因而名焉必以昬者取其陽往而隂來
納采,亡在反擇也
取妻,七住反亦作娶下同
紹介,音界
爲神,于僞反下明爲鄉爲今爲同
尊處,昌慮反
於禰,乃禮反
使者,所吏反後使者及注皆同
莫夕,音暮
内􁆤,力又反
楹閒,音盈
合好,呼報反
甒醴,亡甫反下音禮
鄉爲,許亮反本又作曏
如冠,古亂反下同
授校,劉胡鮑反又丁孝反一音苦交反注同
几辟,劉房益反一音避注同
拂拭,上音弗下音式
逡巡,七旬反下音旬
角柶,音四
梧授,吾故反
面枋,彼命反
疑立,魚乞反又音嶷
主為,于偽反下巾為葢為同
執觶,之豉反
坐啐,七內反
猶扱,初洽反
從者,才用反後從者皆同
復使,扶又反下不復皆同
𤣥纁,許云反
儷皮,音麗偶也
純帛,側其反
請期,音情又七井反
隂和,户卧反
去蹄,起呂反注同下大西反
肫,劉音純又音之春反字林之閏反
髀,步米反字林方爾反云骹骨也又作脾
皆飪,而甚反
扃,古螢反
鼏,亡狄反
壻之,悉計反從士從胥俗作□女之夫
鄉內,許亮反
右胖,音判
飯必,扶晚反
近竅,附近之近下苦弔反
以扛,音江
為脾,必爾反又毗支反
作鉉,胡畎反
承盥,音管
饌于,仕戀反劉仕轉反
醯醬,呼西反
巾之,如字劉居近反
四敦,音對劉又部愛反下敦南對敦同
食齊,上音嗣下才計反下同
大羹,並如字大又音太亦作泰羹劉音户庚反字林作□云肉有汁也戶耕反劉亦太義同
湆,劉云范去急反他皆音泣字林云羹汁也口恰口劫二反
在爨,七亂反
大古,音泰
北墉,音容牆也
綌幂,去逆反
加勺,上灼反
以􁍘,居委反劉居綺反
合卺,音謹劉羌愍反字林作居敏反蠡也以此卺爲警身所奉之警
破匏,白交反
三酳,以刄反劉士吝反下文同
緇袘,以豉反又音移注同
從車,才用反下注同
二乗,繩證反
以上,時掌反後以上倣此
親迎,魚正反下同
衣緇衣,上於旣反下如字
謂縁,以絹反又以令反下皆同
持炬,音巨
炤道,音照
有裧,昌占反
共之,音恭
爲神,于僞反下主爲爲行同
纁袡,如占反
髲也,皮義反
追師,丁回反
編次,必連反劉歩典反
袗玄,之忍反一之愼反又普眞反後同
姆,莫候反字林亡又反劉音母又音茂
纚笄,山買反劉霜綺反
縚髮,他刀反本又作􁇉同
朱綃,音消
相别,彼列反下別出同
被,皮義反下及注同
顈,苦迥反劉音熒反襌也
黼,音斧劉音補
姪,大結反字林丈一反
娣,大計反
襌也,音丹
朱襮,音博
㓨黼,七亦反劉音刺史之刺
而下,遐嫁反
婦乗,如字劉音繩證反下記同
御塵,魚吕反
令衣,力呈反
作憬,劉音景
道之,音導下同
媵席,以證反又御證反下及注同
于奥,烏報反西南隅
媵御,依注音訝五嫁反迎也下媵御衘授御衽御餕御賛竝注同者
朼者,必履反劉云七器名朼者朼載也
由便,婢面反下同
啓㑹,古外反
卻于,去逆反
啜湆,昌恱反
𠯗醬,子闔反
三飯,扶晚反注及下同
主爲,于僞反下爲媵爲尊竝同
漱也,所又反
演也,以善反
嚌肝,才計反
肝炙,諸夜反
廼撤,劉直列反
餕之,音俊
說服,吐活反劉詩恱反下親說同劉云訓解通同勿言脫也
絜淸,如字又才性反下倣此
作稅,舒銳反劉詩稅反
御衽,而甚反又而鴆反臥席
將覸,劉古徧反今本亦作見
因著,丁略反
俟見,賢徧反注及下皆同
執笲,音煩竹器
而衣,於旣反劉羌居反
蘆,劉音盧
拜處,昌慮反
則俠,古洽反劉古協反後倣此
段脩,丁亂反本又作腵同脯也
戸牖,予九反
疑立,魚乞反又音嶷注同
始冠,古亂反下猶冠冠子同
盥饋,其位反
孝養,子亮反記注共養同
取女,七住反
作併,歩頂反
淬,劉七内反本或作染如琰反
汚,汚穢之汚
娣從,才用反
勞人,力報反
用堇,音謹
考妣,必履反
帥道,音導下帥道同
扱地,初洽反劉羌及反又魚及反
昬昕,音欣
不腆,他典反
用鮒,音附
不餒,奴罪反
始扱,初洽反劉羌及反
左奉,芳勇反
攝之,之涉反注及下同
猶辟,必亦反
爲門,于僞反
阨狹,於賣反下音洽
見文,賢遍反下注婦見同
官長,丁丈反
俟迎,魚敬反下親迎同
三屬,音燭注同
涗水,舒銳反
緇𬒳,皮義反注同
纁裏,劉音里
爲鎬,戸老反
則辟,音避
醮之,子召反
適婦,丁狄反下同
共養,九用反
貺室,音況賜也
猶妻,七計反
憃,失容反劉敕用反又池江反一音竹降反字林丑凶反又丑降反愚也
子爲,于僞歹
我與,音預注同
虞度,大各反下同
不億,於力反
謂卒,寸忽反
服期,音朞下同
爾相,息亮反注同助也
勗帥,許玉反劉朽目反
猶女,音汝下同
大姒,音泰
毋違,音無注同
施衿,其鴆反
結帨,舒銳反
施鞶,歩干反
無愆,去連反
以盛,音成
申重,直用反
使識,申志反又音式
適長,丁狄反下丁丈反
紀裂,上音己下音列
繻,音須
而傳,直專反
齊喪,側皆反
壻見,賢遍反注下除相見皆同
請覿,音狄見也
得濯,丈角反
漑於,古代反
造緇,七報反
闔屝,音非
