source,commentary
士相見禮第三,鄭云士以職位相親始承贄相見之禮
贄,本又作摰音同
用腒,其居反乾雉也
奉之,芳勇反下同
願見,賢遍反凡卑於尊曰見敵而曰見謙敬之辭也下以意求之他皆放此
耿,古幸反
介,音界
別有,彼列反
爲其,于僞反下爲其同
爲脰,音豆頸也
大崇,音泰劉唐餓反下同
下人,遐嫁反
復見,扶又反又音服注同
曰曏,許亮反
請還,劉音旋下皆同
曩也,乃蕩反
猶傳,丈專反下文皆同
謂擯,必刃反
相也,息亮反
嫌䙝,息列反
辟正,音避
以索,悉各反注同
有行,戸郎反
衣其,於旣反
繫聯,音連
麛,莫兮反
彌蹙,子六反注及下同
恭愨,苦角反
摯鶩,亡卜反鴨也
必辯,皮勉反劉方勉反
不疑,音擬又如字注同
邪郷,似嗟反下許亮反
疑度,大各反
君近,附近之近下同
妥而,他果反安坐也
己爲,于僞反下爲嫌示爲皆同
孝弟,音悌
中視,如字劉丁仲反
抱,劉薄報反
毋改,音無下同
嫌解,古賣反
惰,他臥反
毋上,時掌反
侍坐,如字又才臥反
欠,起劒反劉欺劒反
伸,音申
猶辦,皮莧反
作蚤,音早
膳葷,香云反
葱薤,戸界反
先飯,扶晩反注同
徧嘗,音遍注同
呫嘗,音貼他篋反榖梁未嘗有呫血之盟呫嘗也劉音當密反云此意謂未快或楚未詳或音沾
其釂,子召反盡爵也
隱辟,匹亦反一音避劉房益反注同
君爲,于僞反
若食,音嗣
飲之,於鴆反
俛而,音逸
逡,七旬反
遁,音巡
比及,毗志反
命使,所吏反注同
有饋,其位反
曳腫,諸勇反
備􁏃,音致
跲也,其業反劉居業反
作抴,以制反劉音泄
草茅,莫交反
刺草,七亦反劉此歷反
猶剗,初限反劉測展反
