source,commentary
治,直吏反
行,下孟反
道氾,本又作汎周張並同
衣,於旣反河上作愛也
施,始豉反
故復,扶又反
以其終不自爲大,河上本云是以聖人終不爲大也
於易,以豉反
樂,音岳
餌,而志反
過,古臥反
道之出,尺類反
淡,徒暫反徒覽反
說,音恱
令,力征反
中,丁仲反
將欲㒆,簡作歙又作給河上本作噏也許及反顧云閉塞也
去,羌吕反
脫,代活反
吾將鎭之以無名之樸夫亦將無,簡文作不
欲,河上本作吾將鎭之河上者非老子所作也
老子德經音義,德者得也道生萬物有得獲有故名德經四十四章一本四十三
應,應對如字
則攘,若羊反
臂,必寐反
而扔,人證反又音仍引也因也字林云就也數也原也
故去,羌吕反
無喪,息浪反
心見,賢遍反
肌,已其反又音旣
無所徧,音遍
之量,音亮
母,莫后反
舎本,音捨
博施,始豉反
偏,音篇
抑,於力反
亢,苦浪反
忿枉,紆放反
尚好,呼報反
敬校,音敎
爲贍,渉艷反
治,直吏反
穢,於廢反
耽,都南反
行,下孟反
逺,于万反一本作弃
裂,力竭反
恐歇,許謁反
將恐蹶,蹇月反其月反又居衞反
數,色主反
譽,逸注反毁譽也
琭,音禄
珞,音絡又音歷
昧,悔對反
夷道若纇,雷對反簡文云之也河上作類一本作纇
内,如銳反又若對反
不見,賢遍反
全別,彼列反
有分,符問反
炎,于沾反
貸,吐代反
恭,一作供
裁,音才又才代反
所惡,烏路反
稱,尺證反
可舎,音捨
愈逺,于萬反
非強,其丈反
騁,勑領反
折,章舌反又常列反
名好,呼報反
無厭,於鹽反又於豔反
費,芳貴反
藏,才浪反
缺,窺恱反
弊,婢庶反
不爲,于僞反
屈,丘物反僞也
訥,怒忽反
躁,早報反
罷,音皮
却,除也
糞,弗問反
禍莫大於不知足,河上本有此句上有罪莫大於可欲一句
咎,其九反
不窺,起規反
羑牖,二同由九反
搏,波洛反
歙歙,許及反一本作惵惵河上本作惔顧云許葉反危懼貌簡文云河上公作怵
渾,胡本反
注,之樹反
咳,胡來反本或作孩
冕,音勉
旒,音留說文作瑬
充,如字
黈,吐口反
纊,苦放反
戚,七歷反
於慢,武晏反
其徑,經定反
喪,息浪反
所適,丁歷反
舎,音捨
兕,徐履反
被,皮彼反
投,音頭
錯,七路反
而令,力征反
鋒,芳逢反
累,劣僞反
黿蚖,二並音元
蟺,徒多反又音蟺又本作蟮
襲,音習
鷹,憶矜反
鸇,之然反
埤,音婢
矰,作能反
繳,諸若反
網,亡兩反
罟,音古
卒,子戍反
餌,如止反
離,音利
稱,尺證反
長,張丈反
亭之,如字別也
毒之,徒篤反今作育■熟反
庇,必寐反又音祕亦作芘
廕,於鴆反
復,扶又反又音服
其兊,徒外反簡云言■河上本作銳銳自言也
